date,windsp_cumsum_1day,windsp_cumsum_2day,windsp_cumsum_3day,windsp_cumsum_5day,windsp_cumsum_7day,windsp_cumsum_10day,windsp_cumsum_14day,windsp_cumsum_1day_in,windsp_cumsum_2day_in,windsp_cumsum_3day_in,windsp_cumsum_1day_out,windsp_cumsum_2day_out
2009-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-30,74.1325,154.83249999999998,NA,NA,NA,NA,NA,74.1325,NA,NA,NA,NA
2009-08-06,70.3025,158.28833333333333,220.12416666666667,367.12,470.6475,NA,NA,70.3025,158.28833333333333,NA,NA,NA
2009-08-13,49.51766666666666,117.07783333333333,170.3815,310.6798333333333,482.2468333333333,701.4026666666666,953.4793333333333,NA,NA,NA,68.58683333333333,NA
2009-08-20,60.38249999999999,134.64499999999998,219.47666666666666,322.1525,417.3711666666666,587.7526666666666,899.6179999999999,61.28916666666667,158.09166666666667,NA,NA,NA
2009-08-27,80.19316666666666,188.72299999999998,252.18216666666666,367.1488333333333,490.9115,710.3881666666666,908.2826666666666,80.19316666666666,188.72299999999998,252.18216666666666,NA,NA
2009-09-01,60.04266666666666,156.19,217.05399999999997,405.9703333333333,594.6933333333333,773.1191666666666,1031.5268333333333,60.98416666666666,161.39816666666667,NA,NA,NA
2009-09-08,61.5945,108.74533333333332,175.59166666666667,325.2103333333333,422.78066666666666,639.8346666666666,1017.4739999999999,59.18533333333333,NA,NA,NA,NA
2009-09-15,85.60833333333333,162.42916666666665,242.50849999999997,392.5868333333333,526.4076666666666,701.9993333333333,949.1883333333333,87.5045,171.61066666666665,NA,NA,NA
2009-09-21,53.817166666666665,127.55266666666665,239.0075,422.8136666666666,586.8589999999999,813.9965,1089.2528333333332,68.65833333333333,163.46099999999998,308.0333333333333,NA,NA
2009-09-28,86.89633333333333,170.34449999999998,243.27716666666666,443.11066666666665,591.552,830.5595,1178.4109999999998,NA,NA,NA,NA,NA
2009-10-05,108.00216666666665,155.65416666666667,246.56716666666665,403.3238333333333,598.7308333333333,842.0079999999999,1190.2828333333332,108.00216666666665,NA,NA,NA,NA
2010-05-25,49.73833333333334,94.005,146.28333333333333,249.78666666666666,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-04,43.74166666666667,109.59666666666666,157.815,302.8333333333333,469.71666666666664,682.625,889.0866666666667,62.49333333333333,NA,NA,NA,NA
2010-06-10,78.88666666666667,159.98666666666665,271.5133333333333,469.6333333333333,603.3383333333334,794.425,1073.7583333333332,NA,NA,NA,78.88666666666667,NA
2010-06-15,85.20833333333333,146.20333333333332,204.69166666666666,290.39666666666665,450.3833333333333,760.03,1007.8083333333333,88.47166666666666,NA,NA,NA,NA
2010-06-24,96.66333333333333,177.97333333333333,230.16833333333332,400.73,566.0716666666666,799.01,1004.1983333333333,NA,NA,NA,NA,NA
2010-07-01,103.06666666666666,208.91833333333332,314.53,438.45166666666665,581.525,811.6933333333333,1147.5966666666666,103.06666666666666,208.91833333333332,314.53,NA,NA
2010-07-08,65.93166666666667,99.51333333333334,172.9,314.62166666666667,474.78,789.31,1056.305,NA,NA,NA,40.89666666666667,NA
2010-07-15,56.18833333333333,116.3,170.73166666666665,289.4916666666667,461.1933333333333,634.0933333333334,935.9733333333334,NA,NA,NA,NA,NA
2010-07-22,96.18666666666667,172.40333333333334,224.37666666666667,388.99666666666667,557.115,727.8466666666667,1018.3083333333333,96.18666666666667,NA,NA,NA,NA
2010-07-29,104.245,198.17666666666668,294.125,514.3333333333334,631.7666666666667,856.1433333333333,1188.8816666666667,104.245,NA,NA,NA,NA
2010-08-05,65.97666666666666,158.17833333333334,246.29333333333332,346.68,475.955,770.08,1107.7216666666666,65.97666666666666,NA,NA,NA,NA
2010-08-12,78.70666666666666,134.57833333333332,178.345,339.505,511.055,757.3483333333334,987.01,NA,NA,NA,78.70666666666666,NA
2010-08-19,64.53666666666666,115.955,205.00333333333333,387.45166666666665,515.3333333333334,693.6783333333333,1026.3883333333333,NA,NA,NA,NA,NA
2010-08-26,92.67999999999999,189.59,307.79,544.2733333333333,693.0466666666666,898.05,1208.3799999999999,92.67999999999999,NA,NA,NA,NA
2010-09-02,61.44166666666667,107.40333333333334,172.605,331.745,499.795,807.585,1192.8416666666667,NA,NA,NA,NA,NA
2010-09-09,89.17,201.07,274.56333333333333,478.9683333333333,669.4366666666666,842.0416666666666,1169.2316666666666,89.17,NA,NA,NA,NA
2010-09-16,73.14333333333333,167.36333333333332,256.72833333333335,407.00333333333333,587.6766666666666,862.24,1257.1133333333332,71.93333333333334,161.78166666666667,NA,NA,NA
2010-09-23,55.67,152.38666666666666,231.97,394.71999999999997,556.1266666666667,812.855,1143.8033333333333,74.255,175.355,261.9533333333333,NA,NA
2010-09-30,95.49166666666666,174.00833333333333,273.525,460.7,659.6266666666667,891.5966666666667,1215.7533333333333,NA,NA,NA,NA,NA
