"covariate_name","global_linear_r2","global_Pearsons_r","global_Spearmans_r","global_quad_r2","linear_pvalue","Pearsons_pvalue","Spearmans_pvalue","quad_pvalue"
"HCS.tempC_mean","0.24","0.5","0.49","0.26","4.61818997615918e-08","4.61818997615918e-08","8.99087037880777e-08","5.32420534322492e-08"
"HCS.tempC_median","0.24","0.5","0.49","0.25","5.79930189426083e-08","5.79930189426081e-08","1.11210665085985e-07","8.83124954883608e-08"
"HCS.tempC_min","0.26","0.52","0.51","0.28","9.61136906313784e-09","9.61136906313773e-09","2.63365582687906e-08","1.47722767905464e-08"
"HCS.tempC_max","0.22","0.47","0.47","0.24","2.61951867675412e-07","2.61951867675411e-07","3.43551266691313e-07","2.320802814143e-07"
"HCS.tempC_sd","0.05","-0.24","-0.17","0.05","0.0113074677373339","0.0113074677373339","0.0837869439947749","0.0253685450110922"
"HCS.tempC_mean_lag","0.3","0.56","0.54","0.32","5.76788141796328e-10","5.7678814179632e-10","2.58073889246267e-09","7.88042738449883e-10"
"HCS.tempC_median_lag","0.3","0.55","0.54","0.31","7.89469173941574e-10","7.89469173941574e-10","1.92756763411968e-09","1.54471895386828e-09"
"HCS.tempC_min_lag","0.32","0.57","0.56","0.33","1.27421083937987e-10","1.27421083937987e-10","5.15358355534054e-10","3.85929456099224e-10"
"HCS.tempC_max_lag","0.28","0.53","0.52","0.31","3.64735534992087e-09","3.64735534992087e-09","7.83789453982029e-09","2.60513504624808e-09"
"HCS.tempC_sd_lag","0.04","-0.21","-0.19","0.03","0.0293253527225572","0.029325352722557","0.0494299984966011","0.0918135569435599"
"wtr_mean_diff","0.03","-0.19","-0.2","0.02","0.0517738489304269","0.0517738489304269","0.0459709451575003","0.105832288997289"
"wtr_median_diff","0.02","-0.18","-0.2","0.02","0.0630382811367026","0.0630382811367027","0.0425119418996982","0.156098339429324"
"wtr_max_diff","0.03","-0.19","-0.18","0.03","0.0570337612522449","0.0570337612522451","0.0619260145840679","0.101629692373151"
"wtr_min_diff","0.03","-0.21","-0.2","0.04","0.0334990628456696","0.0334990628456696","0.0470072603577859","0.0507453211320003"
"wtr_sd_diff","-0.01","-0.01","-0.02","0.02","0.956334346594557","0.956334346594556","0.829728740435068","0.127581075827775"
"ma_3","0.2","0.45","0.44","0.2","1.91140095066777e-06","1.91140095066775e-06","3.09939652388784e-06","4.71154143509319e-06"
"ma_5","0.22","0.48","0.45","0.23","4.53645540404203e-07","4.53645540404201e-07","1.84267449692184e-06","9.3036869827443e-07"
"ma_7","0.25","0.51","0.49","0.27","5.09430481845972e-08","5.09430481845974e-08","2.21932764028201e-07","6.79288994831156e-08"
"ma_10","0.22","0.47","0.44","0.26","1.06224402834929e-06","1.06224402834928e-06","7.45058092071932e-06","3.10410418260352e-07"
"ma_14","0.27","0.52","0.48","0.31","4.0596937973103e-08","4.05969379731024e-08","6.81712079468173e-07","1.21378818069218e-08"
"schmidt.stability_mean","0","0.1","0.19","0.01","0.312194268803669","0.312194268803668","0.0571779824842234","0.280657958298057"
"schmidt.stability_median","0","0.1","0.19","0.01","0.311501435185057","0.311501435185057","0.0562959716168285","0.267928007833265"
"schmidt.stability_min","0","0.09","0.18","0.01","0.360804590225053","0.360804590225053","0.0770557391634413","0.283921537253824"
"schmidt.stability_max","0","0.12","0.2","0","0.237757327336399","0.237757327336399","0.0473591391292702","0.333375157898378"
"schmidt.stability_sd","0.01","0.13","0.19","0.01","0.191544620311659","0.191544620311658","0.0518624714990925","0.254878458251296"
"schmidt.stability_mean_lag","0.07","0.27","0.35","0.06","0.00647129476197859","0.00647129476197858","0.0003870456650573","0.0228150667425427"
"schmidt.stability_median_lag","0.07","0.28","0.35","0.06","0.00571998378560877","0.00571998378560877","0.00033640822881292","0.0203479336491735"
"schmidt.stability_min_lag","0.05","0.25","0.34","0.05","0.0128015836872276","0.0128015836872276","0.000730602702268526","0.0365414838719589"
"schmidt.stability_max_lag","0.08","0.29","0.36","0.07","0.00325411269070805","0.00325411269070805","0.000224748160118303","0.0134266154353341"
"schmidt.stability_sd_lag","0.04","0.22","0.13","0.04","0.0275320519765962","0.0275320519765963","0.200306047251016","0.0674962929331548"
"schmidt.stability_mean_diff","0.1","-0.34","-0.34","0.11","0.000813990622884962","0.000813990622884962","0.000776883898409623","0.0017239848971399"
"schmidt.stability_median_diff","0.11","-0.35","-0.36","0.12","0.000572880208657565","0.000572880208657566","0.000299535155456486","0.00109522337496388"
"schmidt.stability_min_diff","0.09","-0.32","-0.3","0.09","0.00177062037694771","0.00177062037694771","0.00341846892135839","0.00589681243010706"
"schmidt.stability_max_diff","0.1","-0.33","-0.34","0.11","0.000970150758444843","0.000970150758444843","0.000753348713285687","0.00159253840298211"
"schmidt.stability_sd_diff","0","-0.1","-0.05","0.01","0.355567036011486","0.355567036011486","0.629082311429827","0.280045309098306"
"precip_mm","0.02","-0.15","-0.3","0.04","0.0953378299274947","0.0953378299274947","0.00078757444581647","0.0314847906699338"
"precip_mm_1daylag","0","-0.09","-0.23","0","0.356709829509881","0.35670982950988","0.0136872762470884","0.421604056523032"
"precip_mm_1weeklag","0.02","-0.16","-0.22","0.02","0.0830496559985192","0.0830496559985193","0.0172101636201443","0.121100725573408"
"gdd_sum","0.36","0.61","0.61","0.52","4.01406944109323e-12","4.01406944109323e-12","4.15142042703631e-12","1.23153139942088e-17"
"ShortWaveRad_Wperm2_mean","0","0.07","0.04","0.07","0.476314967199449","0.476314967199448","0.688449138533192","0.00768662912598017"
"ShortWaveRad_Wperm2_median","0.03","-0.2","-0.21","0.1","0.0329196760553811","0.0329196760553813","0.0259196117907654","0.000904691304899022"
"ShortWaveRad_Wperm2_min","0.16","0.4","0.27","0.15","5.87233237514242e-06","5.87233237514242e-06","0.00267843737503675","2.55558047277742e-05"
"ShortWaveRad_Wperm2_max","0","0.11","0.07","0.04","0.215431245169116","0.215431245169116","0.453292607372948","0.0394117207911491"
"ShortWaveRad_Wperm2_sd","0.02","0.15","0.11","0.04","0.0942500319701895","0.0942500319701893","0.257469571146211","0.0263155470055192"
"ShortWaveRad_Wperm2_sum","0","0.07","0.04","0.07","0.476314967199448","0.476314967199448","0.688449138533192","0.00768662912598015"
"par_mean","-0.01","0.04","0","0.09","0.715810001875418","0.715810001875417","0.965313663773882","0.00485303040434765"
"par_median","0.07","-0.28","-0.21","0.12","0.00670407728458329","0.00670407728458329","0.0525891518429813","0.0015185067088984"
"par_min","0.02","0.18","0.16","0.01","0.091960521513205","0.091960521513205","0.139978700720055","0.24171840943293"
"par_max","0","0.11","-0.03","0.04","0.284488935034517","0.284488935034518","0.808693514674842","0.0535403979630253"
"par_sd","0.01","0.14","0.08","0.05","0.18657017961579","0.18657017961579","0.463800356747819","0.0462326556730903"
"par_sum","-0.01","0.04","0","0.09","0.717592818284078","0.717592818284078","0.965313663773882","0.00488295622476439"
"AveWindSp_ms_mean_in","0","0.08","0.08","0.02","0.436261629279486","0.436261629279486","0.435911956131348","0.0984737586113872"
"AveWindSp_ms_median_in","0","0.08","0.09","0.02","0.425319222193316","0.425319222193316","0.35308689216079","0.104969898019904"
"AveWindSp_ms_min_in","0.01","0.13","0.16","0.01","0.193880696628543","0.193880696628543","0.107863008926935","0.178003989111914"
"AveWindSp_ms_max_in","-0.01","0.06","0.03","0.04","0.507865482366698","0.507865482366698","0.769843642894229","0.0501519945531472"
"AveWindSp_ms_sd_in","-0.01","0.03","0.01","0.05","0.78322788855514","0.78322788855514","0.898421910872455","0.0206710725847179"
"AveWindSp_ms_mean_1daylag_in","0.02","0.17","0.13","0.11","0.0738805202358686","0.0738805202358685","0.177245642306747","0.00100669095809426"
"AveWindSp_ms_median_1daylag_in","0.02","0.17","0.15","0.09","0.0769686834604673","0.0769686834604673","0.132316876763319","0.00281200362435745"
"AveWindSp_ms_min_1daylag_in","0.01","0.13","0.14","0.09","0.187465136834824","0.187465136834825","0.151663787070231","0.00248044410433718"
"AveWindSp_ms_max_1daylag_in","0.02","0.18","0.13","0.14","0.055695552789011","0.055695552789011","0.193705933375205","0.000177658436697431"
"AveWindSp_ms_sd_1daylag_in","0.02","0.18","0.16","0.13","0.0623848480060934","0.0623848480060933","0.101067767146982","0.000334039410553858"
"AveWindSp_ms_mean_2daylag_in","0.07","0.28","0.24","0.09","0.00396803388789808","0.00396803388789808","0.0124197186231542","0.00242232486034381"
"AveWindSp_ms_median_2daylag_in","0.06","0.27","0.24","0.09","0.00454326821943304","0.00454326821943305","0.0109769818870687","0.00284542280169521"
"AveWindSp_ms_min_2daylag_in","0.04","0.22","0.28","0.12","0.0195611304697438","0.0195611304697438","0.00335353729414435","0.000437937567545398"
"AveWindSp_ms_max_2daylag_in","0.07","0.28","0.22","0.08","0.00283186517590887","0.00283186517590887","0.0244029182973606","0.0041386896728461"
