"V1","V2","V3","V4"
-3.16148600608743,-2.67016491745647,-2.1591456907104,-1.63793341240023
-3.76584902580406,-3.16257141137235,-2.48608798570269,-1.76697567478414
-2.75327457705938,-2.30238477710199,-1.84231560284546,-1.40006960955229
-3.07063401408129,-2.48108812407204,-1.91026874625497,-1.40132615394269
-3.97169631679717,-2.99461582137522,-2.1440089078601,-1.36841290581094
-3.9842790846307,-3.32023900121645,-2.57246396049378,-1.80986393527223
-3.08057861756752,-2.67917664789371,-2.20035945654276,-1.72137630578366
-3.39681198462437,-2.72163452095065,-2.05044981361394,-1.43415792946541
-4.33206273868059,-3.60935898188494,-2.89490494492042,-2.22646602977694
-2.94470856263584,-2.52927167435476,-2.02396124085722,-1.50069844295844
-3.47184250149438,-2.82128598679258,-2.16220223428149,-1.53026577967245
-2.8311264255866,-2.20909845804919,-1.61558035975509,-1.0968897014155
-3.580655525135,-2.79441393118361,-2.00633755192269,-1.23134200408899
-3.25062119210564,-2.84324320453755,-2.37932857224092,-1.89042025825605
-3.31682420086334,-2.66637772515422,-2.01144259779071,-1.39133811837325
-3.21774659934102,-2.57801148100031,-1.93639518478657,-1.35928089113665
-4.14948717513872,-3.57958023945129,-2.93428230663538,-2.29393660142324
-3.1308973796849,-2.66857749101103,-2.17865934327504,-1.70280723984037
-2.41180264382189,-2.03803967210654,-1.58344297361958,-1.08107383183761
-2.95521080992766,-2.77591473252178,-2.48496886224757,-2.12808408546927
-2.85779144273194,-2.2411247821977,-1.6495524401212,-1.10373755495301
-2.93904964495779,-2.44746268801658,-1.91340567542756,-1.39671025917389
-3.73893910494485,-2.86665376127106,-2.13158929671691,-1.52006993511476
-3.63888760700365,-3.23901429151065,-2.74021558159236,-2.1792098381501
-3.39983470138839,-3.0590077113183,-2.52718138894087,-1.89695104976597
-3.7448019271389,-3.23356175967075,-2.67440817264408,-2.0923824745813
-2.90855565064174,-2.10117865518347,-1.41637684491566,-0.844239466836385
-2.89702557465396,-2.24349484466588,-1.63924795084685,-1.10356938901736
-3.90989220586653,-3.35783131885317,-2.72321569045363,-2.08117764992181
-2.49380217023484,-2.00424444239087,-1.545899282745,-1.12943985813575
-3.16846042651782,-2.85277493940569,-2.39829865991949,-1.88664688508448
-4.25739955044991,-3.37092646982531,-2.52160325623791,-1.70060653123061
-3.41352968309434,-2.86568510262006,-2.29547919885579,-1.7455458881742
-2.95204961857555,-2.44542789634144,-1.93748790435746,-1.45866065103036
-3.24952327245592,-2.74485208370019,-2.17952147035212,-1.62435457972114
-3.20069523396932,-2.74000216157645,-2.17270187715775,-1.55417836993221
-3.17474014677995,-2.62101393223722,-2.05581680283507,-1.49664867213158
-3.85145071482702,-3.1370859678475,-2.49354474742178,-1.92109951557704
-3.65298515835107,-3.00924580956977,-2.42890061927462,-1.91276036025487
-2.90938537620091,-2.28411417044703,-1.66469825795022,-1.07699264437115
-3.29268353714451,-2.86980870045374,-2.37013161856653,-1.81763983849737
-2.81270698512484,-1.98254676241913,-1.27931559254577,-0.682708375391709
-2.80625640776537,-2.2231042038247,-1.61345479335169,-1.05476459376284
-3.69029321307915,-3.34353068561154,-2.84835461735101,-2.27849213345469
-3.91760566228354,-3.12355532886882,-2.2623008292368,-1.4120989715846
-3.08647377891517,-2.71730260378675,-2.23625382349305,-1.69930277153661
-3.25988730345078,-2.59376233666943,-1.94425484016487,-1.36116020053751
-2.97896900147673,-2.77439166369037,-2.39979833048094,-1.94533804559794
-3.34636077729754,-2.62909885091726,-2.05592631963945,-1.60422170743868
-3.46197994730718,-3.1252729135013,-2.67149437858985,-2.15199015160979
-2.96425488866326,-2.58130870076384,-2.11008749463008,-1.629771468087
-4.42130104604701,-3.70381816890199,-2.94605081076785,-2.19592973495045
-4.14274477073248,-3.41927835634277,-2.64892493782397,-1.89285338831201
-4.69162725980357,-3.91170836257939,-3.13868556582107,-2.40876164487996
-2.35414883976879,-1.89899413184309,-1.44701874223346,-1.0176385316081
-3.04669509557225,-2.47667982480365,-1.89385124570099,-1.34630809704907
-3.60233937467559,-2.97224463679245,-2.37324370611005,-1.81972035787783
-3.5552317781467,-2.63848079093639,-1.90650020947553,-1.33063456861328
-3.81296095264412,-3.22933473717112,-2.61094295768604,-1.97686390923999
-5.24019439200907,-4.68662797862554,-3.96622491064975,-3.13270721959133
-2.75339723033278,-2.49012048116155,-2.15438950333941,-1.80028897963679
-3.40559956644422,-2.95431771265429,-2.53885704507397,-2.1533521991937
-2.76689065404702,-2.33409701365027,-1.87079656084041,-1.39042022379966
-3.56373670292839,-3.08417489119879,-2.5256185107599,-1.97722629654859
-3.59517552220497,-2.93979848778852,-2.33237955505599,-1.78543446531231
-3.46279960489395,-3.09607561580473,-2.68786116646737,-2.25494224571061
-3.81334554048993,-2.99045281815659,-2.19064063475213,-1.46660572703524
-3.44058855756468,-3.08631801859433,-2.64214268032107,-2.14118964525731
-3.37519689353784,-2.96137683859436,-2.46967064422315,-1.96226441819603
-3.05870703089387,-2.76615917166391,-2.41607335603691,-2.04500372516602
-3.35173943499409,-2.77813191949327,-2.24462833597652,-1.76420482938046
-3.0068995966683,-2.4388375767853,-1.89868509645982,-1.40056290250958
-4.25840455933388,-3.74498489448454,-3.1253870505126,-2.45848667602328
-2.82287642041885,-2.26725834154742,-1.74159989630379,-1.26474909993478
-4.08361836851296,-2.91364982001106,-1.88728909972236,-0.989404965625012
-4.37765104908177,-3.50392055781063,-2.78526459503089,-2.20564382748462
-2.37998118690703,-1.87064801755748,-1.32292541735641,-0.785455004117787
-3.2972401085904,-2.88475586665446,-2.45150802457802,-2.03675524744501
-3.16773835075401,-2.61800035793786,-2.04761669906432,-1.47446885810495
-2.959847915428,-2.69515365104729,-2.30978181671301,-1.86625201568437
-3.57229771459874,-2.84161726774798,-2.15736938409385,-1.5184400624527
-3.88849558429195,-3.53509704020357,-3.08812117198355,-2.57454238758024
-3.48727270316046,-3.00386999194613,-2.48765600398161,-1.97469921210611
-3.58572094967902,-2.83614371231381,-2.20228553371939,-1.68366972190695
-3.54736814630356,-3.12157176061195,-2.5897652579352,-2.02204850470224
-3.07082885378789,-2.44478943441374,-1.85812672187196,-1.32338420113514
-2.53801738373784,-2.11159615483076,-1.61880347303935,-1.09439986232014
-3.46372212242679,-3.01731690811787,-2.51259228068184,-1.98134708586792
-3.42472171100743,-3.07499487056345,-2.54896097845038,-1.95082807054404
-4.14864796411181,-3.16660423118045,-2.30813784132541,-1.56627607573415
-3.32188181068294,-2.74059614883085,-2.20728125079464,-1.70877314512061
-2.95728468643795,-2.44034782399527,-1.89164183871118,-1.36655493944456
-3.40546996898644,-2.59627449984125,-1.94123782814322,-1.36675435777846
-3.2492467064539,-2.68145796668213,-2.16257586900891,-1.70397947289858
-4.08463574724495,-3.09420585685428,-2.21015397175371,-1.44356405460802
-4.12521418616313,-3.02490917054809,-2.1210895276449,-1.34397092509415
-3.94682680912899,-3.48005627765391,-2.8241727621442,-2.08646374713172
-3.7641825577809,-3.24835446037634,-2.67619316881908,-2.07508847079579
-2.95171912100412,-2.39659467041402,-1.84819522971155,-1.31510577731644
-2.19715116041588,-1.87278418717603,-1.40298662239501,-0.905522986464602
-3.89636559378161,-3.28383606483289,-2.57040382324199,-1.84178223017616
-3.12610739224704,-2.53197037507743,-1.87220958547499,-1.18552970150043
-3.07369616060548,-2.83627247245284,-2.50480497875979,-2.13673879062858
-3.2156677175502,-2.66282230393964,-2.18098876104882,-1.76221384909542
-2.58715147144414,-2.3269166424206,-1.90759803149819,-1.44877538188771
-3.23213372102535,-2.71511492754793,-2.2220104067463,-1.77402664319805
-4.1525001994258,-3.81803125842717,-3.27834273479515,-2.62221012671647
-3.07921316741294,-2.91076672965802,-2.58339192525951,-2.20108649622338
-3.39977556504175,-2.90520887731067,-2.42504064294483,-1.98549547741913
-3.65578091772432,-3.05250764376226,-2.4668653575224,-1.93446160605966
-2.99885118898022,-2.34149649679437,-1.70909215197178,-1.10294780287865
-4.22916045023156,-3.58139235692803,-2.92949853885024,-2.27750765415765
-3.81215634938178,-3.03474099672542,-2.32229097694943,-1.6844109138407
-3.34437755051876,-3.06907079575135,-2.56513918620062,-1.93216256329738
-3.16720016746926,-2.41674741092098,-1.74805198809556,-1.17292541473454
-3.21436526018166,-2.55320440057988,-1.91370076186084,-1.30690051216933
-2.42727166955433,-1.85387141421857,-1.32317518616477,-0.848438592699159
-3.71212322852267,-3.26043327359256,-2.78540842895732,-2.29765737780984
-2.7470918065594,-2.28196007255071,-1.79517737459797,-1.31648332631205
-2.96941429890407,-2.41455100403066,-1.88740848547217,-1.41928023178544
-3.89917472318934,-2.96874838106164,-2.1455775108134,-1.42886360318744
-2.85629286875333,-2.41452944331687,-1.89741296064421,-1.39004457596222
-3.12874244137193,-2.43116535517406,-1.8453723332456,-1.35356722073507
-3.74628742854427,-3.25628894598078,-2.74883476520707,-2.24915824824417
-3.76085538557643,-3.13268544312031,-2.49977225905206,-1.86740841522431
-3.25581695708114,-2.55747213943341,-1.88079975805164,-1.23216116061971
-3.16179423931742,-2.62895226546177,-2.07731519858005,-1.56447206060161
-3.56461862161497,-2.94948891000483,-2.34066781529335,-1.77566030339377
-3.98955513959455,-3.27042092081724,-2.58623641976575,-1.97738032790065
-3.39010378058652,-2.8960902667602,-2.39782979436432,-1.92387940640824
-3.40746617023081,-2.74191711150168,-2.1209768476267,-1.54627488452537
-3.45731700568467,-2.49752489255255,-1.68855282649577,-1.01255366934902
-3.8737183253807,-3.28026915355473,-2.6694355848081,-2.08530038161551
-3.27342015860432,-2.72832045197103,-2.15409723559973,-1.59521028628909
-3.92756543058197,-3.25194991943678,-2.61038229717316,-1.99354143235956
-4.30367710179048,-3.67107267508596,-2.93602363303398,-2.17921654361085
-3.37579695100865,-2.99341254291015,-2.48448484776884,-1.9291098081302
-3.54856209536358,-2.93026279162261,-2.36156612343536,-1.85966526600029
-3.88733952455907,-3.3005871082115,-2.73203699618336,-2.17889722578879
-3.84581047430491,-3.05932169878492,-2.2895625805737,-1.53455021094704
-2.52958666791966,-1.91028076166196,-1.32448712485534,-0.793994115552998
-3.22536141969333,-2.72985364295033,-2.24215437762864,-1.78220861656395
-3.62088087460243,-3.02779646665218,-2.43987558271696,-1.8827361055311
-3.58284750730453,-2.90874329595158,-2.25577571149027,-1.6631697901384
-3.04852978883285,-2.33545803020029,-1.65223724462519,-1.04448995852749
-3.453677813304,-2.64242640018936,-1.96610249453529,-1.40851273903314
-2.87058704733681,-2.32073979816711,-1.75069653944195,-1.23842611635621
-4.47532769854602,-3.71775613158475,-2.94427838316866,-2.16369721700917
-3.67565646265415,-2.9983569805979,-2.37773436355281,-1.80001901899649
-2.18647357838391,-1.87913937072097,-1.54174646942455,-1.19313027856055
-3.7796924871583,-2.85216831161981,-2.05829733226903,-1.35982497333023
-2.80882709258694,-2.00625920866424,-1.30717538695074,-0.716157117787633
-3.22803353436964,-2.6142300589472,-1.89160770077025,-1.15794191181228
-3.1717885551792,-2.52163746889568,-1.8594371719699,-1.19743859165664
-3.10135883515059,-2.42666992098579,-1.64549471816432,-0.873040206661151
-3.96502823867189,-3.2180716287554,-2.47918522011764,-1.79634956120269
-3.1024762232812,-2.73632781621419,-2.27539068184603,-1.76540693211492
-2.86522954374868,-2.26511015664818,-1.61442547738644,-0.980230611686829
-3.34060576257064,-2.70253130599135,-2.15525906111173,-1.68132472425609
-3.20378323870426,-2.73032253938457,-2.20322847538776,-1.67641753113505
-3.01050540701715,-2.63612911431669,-2.25432216126548,-1.88659272600525
-3.41024472488201,-2.64817966901523,-1.96982066587281,-1.37673863922227
-3.34541697714927,-3.09334857871852,-2.64019576605462,-2.11375484035154
-3.07026091195795,-2.44444237750178,-1.81429603088389,-1.19333964060823
-4.17050615358767,-3.28828599508413,-2.49164334810747,-1.78529664973436
-3.78313876285132,-3.16076986803607,-2.49895770467814,-1.81513821923055
-3.78449222627817,-3.3883270690633,-2.94493122954701,-2.47206268985936
-3.54566701809698,-2.86791586099835,-2.16579406979162,-1.47135262302335
-2.90014375796895,-2.32196042989205,-1.75007484462467,-1.23640423410817
-4.61307816478942,-3.65467597620879,-2.78220623855989,-2.00191363547853
-3.82318880001048,-3.00684564711306,-2.30425090510801,-1.69689769784272
-3.65748861646934,-3.14801154408664,-2.62244903346697,-2.13403541816709
-4.47652791487918,-4.02646970289108,-3.49197569643345,-2.90220683576478
-3.88102658315067,-2.94066310693386,-2.11344510092638,-1.39637577998652
-3.23891232110766,-2.5020481034367,-1.80454547528656,-1.18444592142396
-3.11343238080348,-2.35193684232059,-1.71037622991327,-1.17314205816615
-3.40373953704412,-2.98896953389973,-2.45651938375225,-1.87390842110076
-3.12245294437618,-2.79528162440128,-2.40256518849051,-1.97274563592718
-3.21766982328897,-2.42088945922555,-1.58021360757047,-0.777056571667743
-4.20399555891356,-3.43063101666512,-2.64567692958473,-1.86834191450633
-4.05531604562722,-3.45197121416611,-2.77479325331191,-2.08748327537855
-4.10000042673117,-3.29113436605798,-2.49177696049336,-1.76486683105488
-3.32087337915426,-2.88524281858781,-2.35219002970146,-1.76165997090318
-3.60135742219415,-3.12509365303341,-2.45173973598288,-1.7195025787262
-3.75249199099804,-3.26917703389907,-2.65890313391377,-2.02605340726781
-3.92636305546058,-2.98176640496537,-2.23463761222592,-1.59648899560471
-2.98859088272635,-2.35733042274007,-1.74670653781014,-1.17913248797454
-2.10399871047735,-1.86976347133678,-1.57588635189034,-1.27377223429299
-3.0833004392819,-2.67373863651384,-2.14974434272124,-1.60759696162041
-3.12820406990595,-2.74381307364572,-2.29527308114554,-1.80859987031834
-2.8225342810572,-2.55393800645346,-2.21053844748254,-1.82676000147095
-3.21205916274528,-2.67705548380074,-2.08741676187421,-1.52752468080544
-3.87742161045545,-3.41952656012122,-2.87889826960368,-2.31767861903415
-3.0521963890484,-2.43670140610313,-1.88651102827394,-1.40297665313068
-2.75496232794313,-2.20777150786361,-1.66491448001911,-1.13663306179887
-3.59416291934138,-2.85002355717985,-2.17219442779823,-1.58685339613594
-3.11333012224167,-2.77364125776523,-2.37345671517205,-1.9413271301468
-3.94899222054809,-3.44556960411811,-2.87676286776645,-2.26552054658412
-3.58292035162371,-3.17337413211022,-2.58869023629204,-1.94430705028473
-3.37438829942966,-2.8248793412472,-2.30139444474388,-1.82688514859259
-3.53112381821826,-2.79935102198146,-2.08307309237445,-1.42561361131179
-2.6093468749107,-2.25941049857854,-1.82792027953707,-1.35485814949009
-3.98498841075458,-3.37939432455212,-2.739735307248,-2.12595685459856
-3.64906417218217,-2.77571341648846,-2.10676662753394,-1.54051633385147
-3.86696265585847,-3.10651480812322,-2.44269314411145,-1.85259569957901
-3.69047883177942,-3.05592016965774,-2.3896615603666,-1.7140177818499
-2.87893457706644,-2.29949562362108,-1.84522913871792,-1.47403914972142
-3.46360771290972,-2.82089281314684,-2.23673848980746,-1.70374474461021
-3.89398992084666,-3.13915838246634,-2.38010722991024,-1.65919825572291
-3.59663182859278,-3.06201828406144,-2.49025500516185,-1.8996153247288
