"V1","V2","V3","V4"
-3.58279516821225,-3.58279516821225,-3.58279516821225,-3.58279516821225
-2.34744069620863,-2.34744069620863,-2.34744069620863,-2.34744069620863
-4.4494449665901,-4.4494449665901,-4.4494449665901,-4.4494449665901
-2.68928895059084,-2.68928895059084,-2.68928895059084,-2.68928895059084
-3.56012000396994,-3.56012000396994,-3.56012000396994,-3.56012000396994
-3.41754120231458,-3.41754120231458,-3.41754120231458,-3.41754120231458
-3.08993171929956,-3.08993171929956,-3.08993171929956,-3.08993171929956
-3.60334478052132,-3.60334478052132,-3.60334478052132,-3.60334478052132
-3.08033858147361,-3.08033858147361,-3.08033858147361,-3.08033858147361
-2.63600459688232,-2.63600459688232,-2.63600459688232,-2.63600459688232
-2.44403083646373,-2.44403083646373,-2.44403083646373,-2.44403083646373
-2.88440009936689,-2.88440009936689,-2.88440009936689,-2.88440009936689
-2.88648408094272,-2.88648408094272,-2.88648408094272,-2.88648408094272
-3.5591161943277,-3.5591161943277,-3.5591161943277,-3.5591161943277
-2.37286106256016,-2.37286106256016,-2.37286106256016,-2.37286106256016
-2.9743694927244,-2.9743694927244,-2.9743694927244,-2.9743694927244
-3.3211975698095,-3.3211975698095,-3.3211975698095,-3.3211975698095
-4.02831925328932,-4.02831925328932,-4.02831925328932,-4.02831925328932
-3.70888060718921,-3.70888060718921,-3.70888060718921,-3.70888060718921
-3.20121791073382,-3.20121791073382,-3.20121791073382,-3.20121791073382
-1.40773540291371,-1.40773540291371,-1.40773540291371,-1.40773540291371
-3.13656030346724,-3.13656030346724,-3.13656030346724,-3.13656030346724
-2.37678811465933,-2.37678811465933,-2.37678811465933,-2.37678811465933
-4.83517505294669,-4.83517505294669,-4.83517505294669,-4.83517505294669
-2.90643575132887,-2.90643575132887,-2.90643575132887,-2.90643575132887
-3.46191549888529,-3.46191549888529,-3.46191549888529,-3.46191549888529
-2.22058181427832,-2.22058181427832,-2.22058181427832,-2.22058181427832
-2.16225097571806,-2.16225097571806,-2.16225097571806,-2.16225097571806
-3.81558015768424,-3.81558015768424,-3.81558015768424,-3.81558015768424
-2.45887573093814,-2.45887573093814,-2.45887573093814,-2.45887573093814
-2.3573360768413,-2.3573360768413,-2.3573360768413,-2.3573360768413
-3.46662060220834,-3.46662060220834,-3.46662060220834,-3.46662060220834
-2.72990381501141,-2.72990381501141,-2.72990381501141,-2.72990381501141
-2.84064229330831,-2.84064229330831,-2.84064229330831,-2.84064229330831
-3.67909695979241,-3.67909695979241,-3.67909695979241,-3.67909695979241
-3.1350493925366,-3.1350493925366,-3.1350493925366,-3.1350493925366
-2.45978763828242,-2.45978763828242,-2.45978763828242,-2.45978763828242
-3.01792169624546,-3.01792169624546,-3.01792169624546,-3.01792169624546
-4.55096332597391,-4.55096332597391,-4.55096332597391,-4.55096332597391
-2.95419647047814,-2.95419647047814,-2.95419647047814,-2.95419647047814
-3.54147108793205,-3.54147108793205,-3.54147108793205,-3.54147108793205
-2.44440346264453,-2.44440346264453,-2.44440346264453,-2.44440346264453
-4.11301850327505,-4.11301850327505,-4.11301850327505,-4.11301850327505
-5.38890993229664,-5.38890993229664,-5.38890993229664,-5.38890993229664
-4.06934910726784,-4.06934910726784,-4.06934910726784,-4.06934910726784
-3.05040070334106,-3.05040070334106,-3.05040070334106,-3.05040070334106
-3.06230853198523,-3.06230853198523,-3.06230853198523,-3.06230853198523
-3.43383674962506,-3.43383674962506,-3.43383674962506,-3.43383674962506
