"V1","V2","V3","V4"
-4.67428452801892,-5.26227796739092,-4.55316988163379,-5.63088916119564
-4.45922422816741,-4.35674676708028,-2.57313854525591,-3.33592715075461
-6.9743839416399,-5.513266599656,-4.25400495041215,-1.81851332626546
-5.39192175597008,-5.4190401694527,-4.67270591020656,-1.85913587643772
-4.82283727303906,-3.36918633633397,-1.58624091174786,1.54225867897024
-1.9664032561168,-4.68943158065236,-5.86340650106676,-4.69369669447376
-3.8471397127397,-2.63704093334314,-1.59202801046975,-1.21465479286352
-2.79321522775323,-2.65180334363591,-4.63560218299913,-4.27138519970562
-4.34372268229103,-4.16347761584256,-3.51316033823452,-3.26408984909019
-5.50870531952632,-4.18340467498962,-4.22403252976942,-2.58965276921511
-2.62736252744336,-1.4742076697416,-1.23815123980317,0.00211720193720866
-4.41803266476462,-4.54116388339659,-4.06051188353005,-3.41546832633461
-2.92678982229178,-3.96855197803969,-3.71973430825106,-2.71241507835595
-5.33133627820294,-5.11255687608343,-4.80765967632006,-4.00704542510418
-4.75797766504851,-3.29770443325797,-1.98712649920866,-2.32908511731747
-4.46576313904995,-1.69011242823246,-1.88359016036068,-1.23220476305051
-4.43990409928651,-3.48248010558348,-2.28648047961611,-2.75078547431455
-4.83608958870584,-4.25501964262792,-4.55886223009408,-2.64247968028077
-5.17723875214821,-3.94917841801186,-2.66412665710041,-3.83205390843494
-5.34859243750465,-4.17153338215276,-3.46848923432431,-1.91628311002886
-3.40805832636287,-2.62556915561972,-4.03246111110201,-5.29064152221142
-3.25958107904246,-2.72321656878412,-3.56999169215312,-2.40763811921953
-5.03469346805258,-4.28266357245498,-2.56394673381584,-4.25625766527322
-3.32684662096167,-4.72947341820309,-5.55337595883481,-2.51530920023105
-3.99221838643997,-4.43848180011678,-3.59586532607167,-3.00655099448079
-3.49820820110204,-4.04060362540875,-4.1301915862983,-5.13433096771951
-5.21456142730182,-4.24432285255118,-3.36246410125878,-2.65413499275674
-5.34192231075183,-5.39705949704655,-3.6273448033439,-2.87030500904821
-5.31249023432687,-4.08870079043589,-3.90838078240028,-3.29087806770594
-1.11083788340801,-3.59935110163592,-3.34266568459162,-2.65732110760831
-3.07213008916527,-3.70253880495967,-2.33176387394414,-1.5936113092316
-4.30903055958489,-4.18920276481713,-4.49311937935695,-3.97853028053631
