"V1","V2","V3","V4"
-2.8999640074186,-2.50704093868597,-2.03689750341147,-1.82820683616413
-2.20758244247838,-1.92975155160078,-1.41521060526857,-1.26735289696119
-2.74223370469545,-2.205896055242,-1.88115041123078,-1.64316819152108
-1.57704435972642,-1.46849056827215,-1.62529807833331,-1.54840855074619
-2.94304494665849,-2.4464753283036,-2.21762866242921,-1.92654262723025
-2.54933720355214,-1.94853394263211,-1.82856046419691,-1.5262101793671
-2.1211776343211,-1.71299893541784,-1.57216370192244,-1.33794161505701
-2.06146103699663,-1.8454740124418,-1.91994096158818,-1.79484111606205
-3.10055295731138,-2.683112549653,-2.51859119385647,-2.25444621721658
-2.99619571025347,-2.4635961948146,-2.06062120718285,-1.75058534568564
-2.31505425238183,-2.04845645936561,-1.78167172687417,-1.62991965726381
-2.79377385921582,-2.4318671442519,-2.08822316290413,-1.89497984245319
-2.50956170578039,-2.06528378898136,-1.55431740961727,-1.35421022693067
-3.30571078817167,-2.8083405649001,-2.41026643088633,-2.12020995586021
-3.21197258172937,-2.57490024221146,-2.24010014749461,-1.94420088778341
-2.4289504175706,-2.07070706241401,-2.06011670838167,-1.87409694576341
-2.71219950757371,-2.35052812999137,-2.42904658312057,-2.22144337922672
-2.46393563874199,-1.99897712069005,-1.86410104375041,-1.60948979946241
-2.8430798547529,-2.55019919460288,-2.42663831200178,-2.27256212167472
-2.16871678067564,-1.91508727176232,-1.74634982979426,-1.59813019838175
-2.49500652057427,-2.02331635243849,-2.12291102973118,-1.86682254809545
-3.38136881378432,-2.72067036226005,-2.4587505291274,-2.14750223459253
-2.71502151899207,-2.21561545630194,-1.54947049373296,-1.18405047535004
-2.69092506485215,-2.45250551214902,-2.11896254811158,-1.96176872820608
-2.38653454355753,-1.99022565465875,-1.7587287156014,-1.52837105906782
-3.04520883959767,-2.81350099900756,-2.26795339020803,-2.0851862001048
-2.38587719403126,-2.20289587470583,-2.12782637306595,-2.00522475336257
-2.50662242134014,-2.05349127368025,-1.91790770405309,-1.70559788616671
-2.81707980464499,-2.5811001118989,-2.05206877731321,-1.88816119096209
-1.83048037913528,-1.46179397254133,-1.3476417301084,-1.18621731559175
-2.34171010896394,-2.11052942953437,-1.79835279462755,-1.64907894615899
-2.92089269096214,-2.39837697663951,-1.89026380716779,-1.63515704694715
-3.07914586736554,-2.57283441386077,-1.9690155029991,-1.69624061139974
-1.89882924563061,-1.71610285248978,-1.21272216058533,-1.11490698864194
-2.27060703574164,-1.97768730343369,-1.95677793416533,-1.77155397669296
-3.1022735372772,-2.61842136095562,-2.48259554549302,-2.21709631874604
-1.85110977910191,-1.60586492640611,-1.50223652630683,-1.34673844150846
-2.62500663248688,-2.12469164900664,-1.98176091286416,-1.71977653140515
-3.51578462369785,-3.26290811902984,-2.88805467397304,-2.67269975677883
-1.76907315727066,-1.42760224943741,-1.61191512822796,-1.4425153910069
-2.03325158721148,-1.97839157018941,-2.08183467225658,-2.02746546259528
-2.05682678995512,-1.73923539752037,-1.30938611208768,-1.09960754660115
-3.53311365015936,-2.67330823962597,-1.64098341487693,-1.18492722538257
-2.59347869263525,-2.30324295733197,-2.24806475324802,-2.07447172855403
-3.411699172233,-3.11827489145981,-2.9345496822586,-2.72318373820752
-3.94736728032724,-3.5639121360849,-3.32852173974823,-3.07214759529806
