"V1","V2","V3","V4"
-4.4201193578514,-2.71274876947684,-1.92065802072153,-2.12977556190612
-4.85847012788335,-6.70680520610569,-5.2983129452831,-3.89968257054312
-5.04039141620356,-6.6465247909752,-8.0519247247618,-7.31628803015955
-1.53580551784672,-2.33668358530057,-3.17350240690279,-4.49761682654214
-4.5979790731765,-5.12558258518886,-6.00966899225573,-5.65240326782274
-5.4398394911171,-6.21330448884508,-4.24136347596078,-3.56279549401893
-3.6730752783706,-3.9325372474271,-2.90387236887925,-2.01682486139462
-5.46164491305956,-5.46158971891752,-2.87732333484882,-2.73394647772266
-4.35697269931005,-4.19226412396767,-3.41366568748654,-2.58097742363723
-3.57778101015917,-3.44547128028221,-3.55587546273016,-1.91407903260893
-5.66057734150419,-5.87415169679494,-3.73808411142209,-4.90650520742227
-2.1639298969383,-2.18245022572308,-3.5517639742375,-3.27344212198089
-3.93789399286968,-2.11328373052349,-2.30755058744895,-2.94962750836556
-3.91268925204081,-3.15079696500318,-3.11331703733216,-2.49228150150849
-2.25356055872274,-3.03727634308946,-4.86186371145808,-5.82032743075084
-5.25416595018804,-6.03023579842897,-4.47659271436661,-3.61775952036334
-4.33598249270882,-3.46783968211465,-3.48212952253406,-1.35774281390489
-4.68185796594478,-1.16934633929591,0.431517167608884,-0.344919099533733
-4.16666126897139,-4.40963193528094,-5.26844686761594,-2.98666811491601
-6.05062821042214,-4.89410171859167,-7.0607081243941,-5.37103808970405
-4.18246853572692,-4.12442207042009,-1.94291991475492,-2.57060182141392
-6.29898007260942,-5.3775142436517,-6.57454450770679,-4.87159386221797
-3.303503828785,-1.74390083712818,-3.54131417662174,-3.73660537050568
-4.53854278878495,-3.19882082714587,-4.55766442126326,-3.75493980510719
-4.7574969742233,-2.8240720103233,-1.85266336000245,-1.50589464147272
-4.00014816949131,-4.7969010202046,-5.48114037066183,-4.93602156795917
-4.82118817497567,-3.17776475577182,-1.17642803794986,-1.74069752788053
-3.7223828769142,-3.42595795520217,-1.96456025221643,-0.860784476087869
-7.08876803608116,-6.52990606509783,-5.87109553418531,-6.66965237304113
-4.10900902012352,-2.30242525569713,0.236549300626147,0.542389121953943
-5.19193325822018,-6.34261354498579,-4.01375927616691,-1.99546962614918
-7.01125942453908,-6.29780202069058,-3.07496552950583,-2.44271502748246
-4.90413659942175,-3.78832291452321,-2.65188626698131,-1.64051666343811
-3.69510698870102,-3.60518262286158,-3.07795384952984,-3.74876479111839
-3.85297362882852,-4.19216007740251,-3.75868333616294,0.117492453404709
-3.68344342758148,-2.19003908121329,-0.778051554643269,0.840329910793672
-4.17466570877631,-2.00350396617543,-2.49137459225144,-3.15963906992402
-6.46490256194848,-4.83163804244596,-4.72786357827037,-4.07267937306851
-3.98711030316276,-4.1384556439324,-4.13586799621064,-3.88525072671222
-5.77144234583837,-6.74636277125313,-5.53684190460358,-5.34789522303019
-6.06163744641424,-4.07650152580531,-3.52518140433225,-3.65550854073659
-5.14539683180625,-3.9423386134381,-3.86322551971659,-1.98241939327023
-4.46760441962964,-5.07596839849949,-2.9636282111458,-1.15821222093464
-4.67983761780286,-3.71050853823651,-3.27949322389305,-1.08741174559302
-4.67732173174879,-2.67265493026463,-0.616173263674484,-0.194888030544029
-4.30203068973061,-4.27090271215065,-3.56072263950195,-2.36099171175251
-4.27168419775311,-6.71435192740982,-4.00069256296653,-1.84734836472753
-6.0581001328401,-6.65548538479013,-5.42435037956078,-5.08309781825397
-3.84236765567156,-2.82438347421975,-2.56163054366967,-1.73154651971425
-3.37359596464793,-4.0632998985017,-1.03031867024895,-0.920399294730604
-2.89966282639721,-3.73285340048492,-2.88832834793332,-2.02796533581567
-3.2153864307544,-4.72219211009945,-1.05551663170478,-1.25894863763321
-3.63896581105102,-2.53826524020571,-2.20160461058747,-2.95531989842929
-4.12188944945364,-3.26373120663629,-1.87547985233947,-2.55078066981795
-1.91914409423251,-2.68083055930903,-3.1894818017712,-2.29394128514214
-4.69808235470468,-4.41841903030934,-2.5133226268934,-3.25355391693087
-2.37803026173106,-1.56508837351891,-1.35548771530867,-2.42040777907499
-4.80014673772611,-2.75174351910508,-2.43945599015973,-2.94863973979749
-4.53146235047128,-6.35765274893148,-6.42560195698277,-6.33577243735717
-3.57903073143602,-3.88523558802184,-3.67908190704615,-3.20081864301206
-5.50462018169068,-5.57799965214114,-2.3818646027092,-2.50005814588666
