"V1","V2","V3","V4"
-1.42242625294703,-1.47757115291588,-1.79728026734987,-1.66415981456199
-1.74122057517266,-1.68244466900112,-1.61712679038737,-1.57734966220328
-3.58221293141185,-3.01019277860319,-2.47504734036606,-2.13546578672444
-0.654749553370267,-0.878850213620154,-0.898819794552004,-0.911815018492091
-3.13611744112565,-2.46689275234692,-2.01457022700421,-1.72587406298954
-2.79053144479542,-2.28177452170072,-1.86386673617661,-1.61633466811581
0.401642754710802,-0.239780976858661,-0.529631256464791,-0.879844376880633
-2.99160984389515,-2.54859354108815,-1.85752805762416,-1.73727952396575
-2.73173306730002,-2.42770985435091,-2.11364982539918,-1.85715365786337
-2.00240603620393,-1.76864262370316,-1.63473453960024,-1.50418821793196
-4.46084183157076,-3.81714416360229,-3.25894628114232,-2.86071139845836
-3.00449310184139,-2.75031213050514,-2.28664012083745,-2.21863505745957
-2.247312668431,-2.10708311489799,-1.77380547702719,-1.7356864274359
-2.80982892149124,-2.40766561372311,-2.24700003166234,-1.95624755987965
-1.2670684397654,-1.26536153071034,-1.11137363478683,-1.18961555186077
-4.89530627718826,-3.7677897574034,-3.14288158987845,-2.37418502345211
-2.37297123951789,-2.06915633364985,-1.85099447615473,-1.67229993004431
-1.29861497153977,-1.81168159469753,-1.69553375917163,-1.6154721016591
-4.05943937782306,-2.99005286636464,-2.91536542749414,-2.49501992569123
-2.77339530534476,-2.49177876987935,-2.07381534421581,-1.97372166001623
-1.47803338001515,-1.46748131335105,-1.11344986617103,-1.3792410663383
-2.39517986111377,-1.90356202064384,-1.74088516875091,-1.42951390494356
-2.39742626880421,-2.43674665731861,-2.20264266036602,-2.4616398982021
-3.13020711779605,-2.65040365814204,-2.40686974978398,-2.11909937420803
-2.3000350153932,-1.68940814823843,-1.51213185540787,-1.03962492862303
-2.86116240901103,-2.63425328325547,-2.18506970309252,-1.87552381438006
-2.83514222845804,-2.5512580595214,-2.11276641428336,-1.97079461196063
-1.00128056896456,-1.13151919366629,-1.2839816731163,-1.39488193980365
-1.90045163697787,-2.07608809248912,-1.53716704927505,-1.91502109722804
-2.05429247139917,-1.57391340375948,-1.22631194110288,-0.845741057098391
-2.74658865732814,-2.37473308463669,-2.08101684828837,-1.94887166647307
-1.06790591807095,-1.59528887900007,-1.42386300202423,-1.81334597669434
-1.53020629049975,-1.28584882528222,-1.20062917124742,-1.09202978691076
-2.22773001349086,-2.11532316354929,-2.22398665342016,-2.07538007525216
-3.05567968117844,-2.46835397860484,-2.17036757362092,-1.91910014953949
-2.40825554644726,-2.06751416030119,-1.75893573753306,-1.53157916614521
-2.10572546346482,-1.79874586242698,-1.40480583676932,-1.33800163022791
-2.71286648204997,-2.20486783365502,-1.74095078101725,-1.42063362319547
-2.23323726003748,-1.91584740622007,-1.63581863405006,-1.40984073253399
-2.37624373162792,-2.03239865422107,-1.705445077465,-1.5216802759881
-2.10010980301366,-1.4550524565401,-1.60595970522909,-1.09820115942388
-1.5123085445054,-1.43331608522243,-1.60833021263444,-1.46051852876156
-3.57587057928571,-3.18654384915492,-3.06898373490508,-2.65058305320614
-5.01327380710915,-3.92238001827419,-3.22458645294078,-2.48530064771932
-2.04540228348387,-1.6627295034741,-1.4608549354418,-1.29150946977631
-1.48047870755846,-1.40267351665795,-1.62425118918499,-1.45519476340383
-2.99984985296767,-2.22554451364326,-1.71403266504272,-1.22585743853358
-2.55328709419331,-2.31663696735225,-2.2836196809732,-2.08254476845595
-0.8143331931255,-0.710387706338004,-0.789202583320316,-0.700267117657748
-1.30027395113859,-1.26454951234431,-1.15338017512372,-1.17828851524148
-3.51929557710203,-3.18727203321458,-2.61029053675308,-2.49443518247632
-1.72090596829917,-1.85531447998058,-1.54429272273679,-1.70196219180105
-2.87711863495208,-2.29964104413549,-1.94456481092632,-1.64759105745371
-3.8349921015497,-3.25974610674889,-2.6870885378078,-2.26165105945187
-1.99900740638299,-1.66792490596164,-1.51217087467091,-1.39111841497525
-2.00377095397622,-1.39609392038088,-1.30248597556697,-0.805523566238158
-1.88216240372043,-1.84386355041217,-1.49477789580255,-1.6218405999865
-2.6397546395334,-2.64667543622216,-1.76372879669309,-1.93878433755417
-2.18509111004995,-1.71831357253855,-1.39061176900381,-1.11667439436694
-3.18891975201691,-2.53213869656313,-2.03025601433088,-1.70763452008099
-1.21790589811704,-0.988151145581058,-0.84705034056906,-0.624325938057607
-1.25509446633953,-1.58077825541545,-2.2452564766024,-2.08839947178085
-2.68621705400133,-2.32616925227554,-2.15532217751171,-1.92097219214581
-2.12822224109198,-1.64877775155105,-1.44490376882411,-1.05604917199106
-2.95677126530474,-2.41021595229772,-1.9847292371794,-1.6306179121941
-2.42358204840366,-2.25579557180214,-1.9178811975312,-1.8975613194879
-1.95678105267517,-1.63300813791653,-1.44353516402647,-1.21951739991792
-2.38454712451345,-1.94927550227667,-1.65928737285584,-1.4460092098606
-1.18107885070346,-1.49063404549452,-1.43894049753465,-1.39658245747533
-1.89798497321062,-1.89259246674462,-1.99922916674937,-1.93536910970452
-2.50086747414198,-2.13489858625385,-1.97292000371928,-1.68273559151562
-2.55210503865946,-2.05043394575665,-1.42597081062786,-1.09301960834618
-4.41074375729093,-3.88667618868381,-3.14331390753832,-2.88456898334727
-1.52003933991557,-1.09735251218639,-0.830097597969315,-0.609984650555786
-2.70183488483936,-2.49269999649508,-2.20411622094029,-1.96123262266322
-3.06918916718376,-2.65477179042107,-2.124747194303,-1.78869860522714
-1.77407889346371,-2.14617463093162,-1.57714168666017,-2.14114273250269
-1.58012499196775,-1.33660858122227,-1.45870890576949,-1.27547060669942
-3.23495838368963,-2.82574340772657,-2.39783900284309,-2.11921783818853
-3.14438846337285,-3.01184213215838,-2.38240576443735,-2.52366262643
-0.408360593518089,-0.699986577607462,-0.76426043010142,-0.813244926166347
-3.76113883581118,-3.2995460937149,-3.25050397863209,-2.89594125418931
-1.98164403396919,-1.96749799591468,-1.7071538693927,-1.5394274666024
-2.9851349005125,-2.42027248853841,-1.82918668588558,-1.76410260334661
-1.67731086573622,-1.55714957784721,-1.30796822959315,-1.31702505147286
-2.44488737264401,-2.26832685532111,-1.87822386518499,-1.83863703549447
-1.43952019607547,-1.25072408729911,-1.05620343540022,-0.965982705900519
-2.47792314080902,-2.08473179759079,-1.60266218561985,-1.40363566004013
-1.71212053651472,-1.45851783210988,-1.44776407764767,-1.33505511563842
-3.02994968316773,-2.6169656243806,-2.09081859579741,-1.69240126346786
-1.56479168428933,-1.04923171968777,-0.866754245965114,-0.500400998174875
-2.85062604556821,-2.37709262578952,-2.02436499521417,-1.75135969312698
-2.48683578806136,-2.1745269018807,-1.83192760140165,-1.68742337431123
-2.27404059947172,-2.0966680826908,-2.1039201538683,-1.93514052583474
-2.33977004076933,-2.29968522069951,-1.78446119206885,-2.06755984810045
-2.63191037846158,-2.14754570008892,-1.8663477116411,-1.58348183388255
-3.57308390058906,-3.25613436512926,-2.93976514375232,-2.76704379265946
-3.54039625313801,-3.06868043029674,-2.4735069755377,-2.0708680050805
-0.957819484083213,-0.854466262876118,-0.698734898887451,-0.661384052906556
-2.79142551183506,-2.69014464766282,-2.37390415967568,-2.34076155441607
-3.59472514968038,-3.12568027574314,-2.75647304754281,-2.5044704799802
-1.50145046623948,-1.68624063493628,-1.27720319312909,-1.47612367573128
-2.58688588600934,-2.30215093837063,-1.61074253154142,-1.55769867465311
-1.47451246866399,-1.30919947529069,-1.14103377493624,-1.08392415216016
-3.12569273671704,-2.61428849968305,-2.37531001347547,-2.00866709138777
-2.15155751964822,-1.77036365702918,-1.65855944144185,-1.46826543851176
-3.23453845760521,-2.3806027067789,-1.95383018385649,-1.63378827669635
-1.298874329411,-1.20779902517649,-1.15064658433087,-1.08811406239221
-0.982548286800815,-1.00753705397377,-1.05233700319736,-1.08618648568947
-1.80566188387524,-1.45411776040122,-1.18125368452258,-0.956178736634292
-2.12037161664931,-2.19884111194038,-1.73197428917178,-1.86222016095787
-1.222277839826,-1.0836981485293,-0.919320628522289,-0.847047978941067
-4.23643659567184,-3.7811157213695,-3.369978479201,-3.03705005719922
-1.03786827812425,-0.9597681886029,-1.16346382547237,-1.15359794251241
-2.83135336875212,-2.33445937954353,-1.74613343549099,-1.53501305451261
-0.570789428728543,-0.813900162599454,-1.1837771644744,-1.27057950098719
-2.41365233081744,-2.26701994862116,-2.07043431965297,-1.91993772312467
-3.19728474707368,-2.54292825276866,-2.09916509914874,-1.6283711507174
-1.49230416923572,-1.24282130182212,-1.16698627483412,-0.974361781532487
-1.55327566022704,-1.27895959579346,-1.31462551120753,-1.05620812279689
-4.08667741906578,-3.11589573465329,-2.73184294619838,-2.1176496141615
-2.1464959583057,-1.86045919045539,-1.55569608053818,-1.32110352340714
-2.4463648092838,-2.3603691655799,-2.67436668778201,-2.43468954218396
-1.53500351272534,-1.14974226740186,-1.2638796404595,-1.1221072085839
-0.91506352357091,-1.12422532161048,-1.13866297962917,-1.31060624289055
-2.19058136529421,-1.79546477831857,-1.62414083679808,-1.3365043432711
-1.17669499197106,-1.34260964946152,-1.69367364311373,-1.69168294608397
-0.649276652038467,-0.535668865923322,-0.513284075288528,-0.406622932203426
-4.38570390281516,-3.6295994785177,-2.88246289854729,-2.41238566652921
-2.69754637176858,-1.85953209104773,-1.52489622265421,-1.30459714738043
-1.64874103642923,-1.71455245589344,-1.59619175340808,-1.66687743742195
-2.51618298661516,-2.54985677104246,-2.18496623961217,-2.38121333442115
-0.460884701581133,-0.936433123092089,-1.43229916691767,-1.49107596799996
-2.85505496291413,-2.63366503463818,-2.24592150419463,-2.13036636908148
-4.19936733934862,-3.55969928932632,-2.73270591164343,-2.27228631189861
-1.19319910714755,-0.798290385795017,-0.842231210945441,-0.466787816917052
-2.29903659756228,-1.94549853039656,-1.5210832437364,-1.39114835128042
-2.43852420201455,-2.25164832331061,-2.278838512383,-2.11238378025185
-1.54918495987737,-1.47983186316187,-1.19649011869067,-1.2726541927734
-2.0243202369026,-1.82000837851912,-1.54791903045279,-1.36596943360482
-1.70567006057939,-1.43536476685838,-1.06792015160421,-0.949717131407732
-3.12213285469153,-2.55439391987134,-2.08783242035601,-1.77124049152869
-0.932631181726948,-1.43754537746072,-1.27699753264939,-1.74955352101241
-2.09086131601084,-1.74929055093606,-1.52095756856332,-1.34698185352456
-2.67534216554361,-2.43832270932916,-2.02640382845636,-1.90751169272797
-3.85280550079212,-3.1192484651902,-2.78395765867176,-2.13978450915109
-2.38833860692715,-2.17420279890282,-1.62668838019126,-1.42500726759262
-0.481651715192303,-0.892341412338977,-0.784673873256704,-1.2004808346246
-1.49480586196074,-1.49930382652495,-1.81004639067106,-1.84194262573559
-2.91101472055342,-2.87236361408259,-2.34160532792272,-2.46093023868063
-3.34064973203869,-3.35859982219127,-2.7813950891938,-2.97969261275439
-1.64254049234055,-1.51930407444003,-1.47921692934556,-1.38418472034244
-0.19659186421429,-0.639270222027271,-0.899079748462895,-1.08255911213745
-2.85906380583455,-2.16042188570029,-2.10939684708909,-1.50290929625861
-2.53554433158951,-2.31596372231268,-1.97475399190965,-1.80259426964208
