"V1","V2","V3","V4"
-3.69169027575103,-2.86936429166026,-2.11628769347628,-1.45629382672735
-3.1125010379643,-2.48607505162652,-1.86263891697789,-1.28843703582586
-2.07656831236849,-1.80052732177401,-1.40896496857006,-0.988209870741047
-3.75487574535136,-2.91117845021892,-2.14395898985231,-1.47460582126516
-2.95216601741616,-2.37997037259013,-1.79242217409211,-1.2419698015223
-4.05187861648567,-3.10772561880914,-2.27402773071429,-1.56068122734081
-3.09572894945642,-2.47497581041387,-1.85529378787016,-1.28357626015881
-2.83914838746019,-2.30517885598362,-1.74292749827488,-1.20921578013856
-3.46748486406221,-2.72099219450934,-2.01809970128136,-1.39131609845904
-2.51219239218275,-2.08880965093201,-1.59974115647086,-1.11445955790108
-2.72245871490709,-2.22795729695815,-1.69182469673424,-1.17539755167672
-3.97968200469041,-3.05994816946675,-2.24241011585809,-1.5397576832221
-3.35625028628253,-2.64738064581142,-1.96938589115265,-1.35907882945396
-3.07896052545297,-2.46387899425512,-1.84795026358692,-1.27871654651418
-2.62960396834058,-2.16650894308161,-1.65116010678318,-1.14848700368694
-3.1836105130765,-2.53313306806879,-1.89378043374463,-1.30904551318748
-3.40095970844975,-2.67696793667737,-1.98896583064532,-1.37203621822853
-3.61480087332286,-2.81848130091968,-2.0826149288957,-1.43401024909174
-3.4958314068029,-2.73975104587575,-2.03051371973172,-1.39953130583373
-3.68823519923358,-2.86707783057598,-2.11477458536897,-1.45529249932224
-3.58175583513372,-2.79661313288742,-2.06814326236742,-1.42443335486829
-2.44953317805867,-2.04734375171312,-1.57230032718395,-1.0963000792418
-2.78323528542083,-2.26817732178646,-1.71844104549356,-1.19301141502719
-3.0918212622827,-2.47238982581784,-1.8535824645135,-1.2824437601294
-2.10112155357782,-1.81677588536861,-1.41971775744372,-0.995325728576004
-3.16822926566622,-2.52295424179573,-1.88704440632543,-1.30458782188055
-2.35770898366734,-1.98657738488722,-1.53208705483567,-1.0696881990616
-2.96204131117191,-2.38650553172606,-1.79674693708024,-1.24483179378822
-2.82531023369064,-2.29602120059957,-1.73686724966588,-1.20520529801594
-3.32978730026395,-2.62986827310428,-1.95779675311591,-1.35140950202011
-3.18559518222641,-2.53444645975592,-1.89464959509775,-1.30962069686282
