"V1","V2","V3","V4"
-5.19946804737826,-5.19224963725818,-4.34850105453711,-3.27974888960086
-3.5877428209062,-3.58333086872902,-2.74965384607377,-2.43399783610645
-4.77868610508673,-4.16599198918458,-3.27263031209617,-3.36094953304361
-4.87792303144147,-4.70709024087368,-4.39381035130483,-3.22006264039659
-5.31458746845798,-4.88243189306451,-4.04684182033948,-4.3554784409241
-4.00098892307736,-4.87779355756779,-4.1031563572009,-3.98161303267519
-4.7626701514334,-4.47142849949277,-3.89993268352546,-3.72996546609117
-4.80187142473604,-4.44574947442808,-4.05218026445049,-3.16665290448524
-4.72244337514748,-4.25982196281036,-3.5809878616188,-3.59061393008464
-5.27024669133093,-4.88151107058423,-4.05112180250944,-4.59430284206204
-4.9025710194555,-4.73283351656247,-4.51004733315086,-3.40501797195169
-5.17411039134094,-5.3619816839534,-4.66812533236575,-3.54277214362016
-4.19199948409961,-4.19145757077735,-3.68514824920521,-3.32144485875349
-4.7436280896957,-4.40400039931451,-4.02109464888131,-3.25213016355957
-4.50268860044744,-4.02953363718434,-3.54561441450519,-2.62895812758292
-6.09913637966086,-5.96706066097309,-5.23239429431022,-4.35298547284218
-4.19110778255057,-4.79133039114664,-4.24957117756201,-4.05580014204632
-5.17284897246065,-5.16586254878098,-4.71520766040833,-4.57542739183184
-4.82256617019375,-4.69165107991826,-3.58008517984688,-3.75380957684118
-5.84083545416616,-6.16819954980195,-5.55532033478547,-5.2879693316012
-4.78839763243238,-4.45733223021362,-4.10498193003258,-3.73405862633207
-4.45008598675152,-3.86018339078309,-3.11975039317752,-2.38050479535423
-4.49289172189281,-4.05608594642923,-3.4943245919695,-3.28324041371504
-5.3812004320686,-5.43795304798159,-4.15173347571043,-4.28179137375974
-4.49449922390386,-3.81309713730814,-3.03619528993291,-2.91552687722633
-5.19527926645541,-4.94347001945079,-3.74482676978988,-3.61571613795228
-5.81423326112625,-5.95052491356902,-5.04765917421938,-3.91585455260628
-4.89867736832847,-4.62682494244221,-3.99136485923697,-3.62733007277207
-4.16734515527305,-4.55036182359982,-3.91545803430242,-3.67907207858481
-4.85098763232362,-4.5105873325096,-4.02651751904601,-3.45730849969376
-4.98243676953895,-4.76439968219451,-3.97663124846795,-3.70055676397268
-3.9100706309592,-4.44451203763487,-3.7433443054325,-3.58070866528932
-4.76344591730007,-4.43813872670226,-3.76547787935262,-3.48766218262966
-5.04298843180687,-4.91195970646894,-4.17533406649251,-3.29795458542673
-3.72499877474019,-4.25737342612918,-3.56031247027165,-3.41676488676432
-5.30039532413587,-5.08420579054597,-4.11186859690693,-3.80951926135169
-5.22024190208802,-5.22949839855772,-4.76736294378366,-4.77759434790957
-4.98901012065442,-4.71126305233238,-4.28262997636929,-3.73931431762721
-5.12046184771435,-5.47973738660276,-5.14927915462198,-4.75387481916233
-5.02133242687492,-4.6486136416894,-3.94455591405262,-4.11143499256001
-5.1400221729485,-5.09933537627942,-4.89979951015021,-3.73292985451367
-4.56845081636216,-4.08088463956263,-3.65334828112902,-2.63735110590418
-3.9085309619245,-4.4115736884591,-3.74731905594792,-3.6071110002802
-4.49974378249661,-4.64056751679865,-3.9704793437494,-2.81404496017321
-5.8271190513585,-5.8196110571972,-5.42440100646002,-4.82227133307446
-4.28998913517491,-3.85779590985387,-3.52147367076526,-2.52391014568496
-5.48835085700906,-5.74213550228011,-4.68260739384873,-4.85137838949678
-5.39444956257367,-5.38576337173341,-4.52512930033646,-3.45659212478963
-5.64136326245127,-6.0496773530242,-5.64550362091888,-4.72730900662816
-5.00029020416576,-4.78899967246045,-4.41784054770443,-3.37059849048154
-4.66762767978859,-4.19799627772986,-3.60585618997532,-2.95980516573705
-3.95205895611273,-4.57713939425578,-3.77072115090158,-3.47093887986933
-4.31352516281295,-4.59254731121362,-4.0450748681191,-3.75245396702884
-5.0973896315502,-5.38740549182478,-5.02162876707189,-4.18942262412805
-4.22829859741339,-4.33047921114176,-3.80658362440377,-3.50468664766361
-3.91037351668647,-4.0652138508352,-3.39886882810069,-3.0832950330194
-4.73615600647143,-4.39310844442479,-3.96700163043762,-3.36125103472648
-5.21004248796267,-5.08796071802303,-4.73578277023651,-3.85988188807285
-4.43561698813721,-3.99755302294813,-2.99196153835772,-2.83014244168228
-4.57238297416681,-4.94504382268524,-4.44139321977607,-4.13062374277487
-4.24053953241172,-4.42999446431692,-3.83409043844959,-3.58817669527563
-5.42965774480972,-5.70339667326869,-5.70486879220657,-4.85473630202414
-5.04024048641657,-4.97117258465256,-4.7653471527917,-3.50132385194084
-4.61655389080494,-4.51534552116392,-4.05938077753071,-3.41092097461332
-4.95071644231711,-4.53381921678318,-3.86241803910808,-3.96785063072012
-5.21214803895886,-5.29162185960751,-4.69961921362279,-3.68113871636365
-4.4411413096716,-4.03193523683819,-3.65818998022723,-2.8605158316519
-5.15329571992966,-4.97763856084582,-4.281396692655,-3.37508162177681
-5.21587724489462,-5.13998028727221,-4.90899940949646,-3.66803269261716
-4.20154521411489,-4.21559321536177,-3.71789766885829,-3.46059126329067
-4.95451280391462,-4.66197343986576,-3.99904332046587,-3.27298457067557
-5.22304361218668,-5.08736379959381,-4.25679901868928,-3.28338113389763
-4.54052733651548,-4.03532767752943,-3.64631460179836,-2.84897801007669
