"V1","V2","V3","V4"
-2.15529974124361,-1.80383964141579,-1.74567054038508,-1.48267946516847
-2.62871835865957,-2.14209857623138,-1.98735750150864,-1.65536547923927
-1.82168522175464,-1.56547112811712,-1.57535556662658,-1.36098893698192
-2.33520669453591,-1.93238366598063,-1.83751560778768,-1.5483030243712
-2.54373653647143,-2.0813788250544,-1.94397306836678,-1.62436717963238
-2.06628326206099,-1.7402371164587,-1.70022635726234,-1.45020946840204
-2.14137245106716,-1.79388855337944,-1.73856045997083,-1.47759929269763
-1.70700872616918,-1.48353444920734,-1.51681157889405,-1.31915909294589
-1.50732050678846,-1.34085665433812,-1.41486789282246,-1.24632004227658
-1.87961464996398,-1.60686186764385,-1.60492936653323,-1.38211950026537
-1.2246887749711,-1.13891548634719,-1.2705803598292,-1.14322619378396
-2.61608035273952,-2.13306868542556,-1.98090561910877,-1.65075559110254
-1.80079333970526,-1.55054381958225,-1.56468996265809,-1.35336833292279
-1.84836833140539,-1.58453628507545,-1.58897767494166,-1.37072197171923
-2.53706514486823,-2.07661209697397,-1.94056722773499,-1.62193369691353
-1.52362550215703,-1.35250661942747,-1.42319182567341,-1.25226751573044
-2.20314051875782,-1.83802201162133,-1.7700939401202,-1.50013005303101
-1.61367739654078,-1.41684895146045,-1.46916460303444,-1.28511519456811
-2.01147103665016,-1.70107362710643,-1.67224393387504,-1.43021594812138
-2.10537698393794,-1.76816969078849,-1.72018426025108,-1.46446944626893
-1.57410147956681,-1.38857184737647,-1.44896053256648,-1.27067932934436
-1.40835542329359,-1.27014582359464,-1.36434480520548,-1.21022115395193
-2.02806032607059,-1.71292672109612,-1.6807130028971,-1.43626712177805
-2.60240500781593,-2.12329761298161,-1.97392416034202,-1.64576731916092
-1.6558758508819,-1.4469998658757,-1.49070751625886,-1.30050766671019
-1.24317397942645,-1.15212321696633,-1.2800173205363,-1.14996892877419
-2.27969220744932,-1.89271840868417,-1.80917466979178,-1.52805334439348
-2.42214224539513,-1.99449936179285,-1.88189744730099,-1.58001397363819
-2.09630158302835,-1.76168529129136,-1.71555113855681,-1.46115906777615
-2.50188750351407,-2.05147757320148,-1.92260853974594,-1.6091021637917
-2.15243824778647,-1.80179509628557,-1.74420970713415,-1.48163569569844
-1.46357954927069,-1.30960361706101,-1.39253750971077,-1.23036492068332
-2.0344223533587,-1.71747240750256,-1.68396090863059,-1.43858775956747
-2.07769461924187,-1.74839056328738,-1.70605201797335,-1.45437191937928
-2.06758721943201,-1.74116879767094,-1.70089204611116,-1.45068510495843
-2.05398637031872,-1.73145095269314,-1.69394861851882,-1.44572400639799
-2.62063267806502,-2.13632133468541,-1.98322964616113,-1.65241611497358
-0.5372033598782,-0.647705221994076,-0.919609243193579,-0.892456342965238
-2.4899732816602,-2.04296482814839,-1.91652615944216,-1.60475628594277
-2.23643102836858,-1.86180817445089,-1.7870892204199,-1.5122732286468
-2.32782604894348,-1.92711017392835,-1.83374768287146,-1.54561083141186
-2.23105723982784,-1.85796858741133,-1.78434582467171,-1.51031306466207
-2.13221609972854,-1.78734631457289,-1.73388601192717,-1.47425938641188
-3.00296926498756,-2.40950190231784,-2.17841793073692,-1.79187869375737
-1.20234666820093,-1.12295198816695,-1.25917439544222,-1.13507660012171
-2.72833729675641,-2.21327658792857,-2.03821439123215,-1.69170287010871
-1.66673928544016,-1.45476182044811,-1.49625345465072,-1.30447025530298
-2.21795552751734,-1.84860737708421,-1.7776572135412,-1.5055340331809
-2.06020326397396,-1.73589294071035,-1.6971224314613,-1.44799170467966
-2.19336067943572,-1.83103428889547,-1.76510119256216,-1.49656272084622
-2.3712435613524,-1.95813210876469,-1.85591294263867,-1.56144797191067
-1.72318371521745,-1.49509152441487,-1.52506914166296,-1.32505914478929
-1.79986022170226,-1.54987710414238,-1.5642135925995,-1.35302796517495
-2.58967770611515,-2.11420392008908,-1.9674266911716,-1.64112485914829
-1.11042827996881,-1.05727604102513,-1.21224874633181,-1.10154809173677
-2.2274650553249,-1.855401961472,-1.78251196321301,-1.50900276548751
-2.28992972298249,-1.90003314235119,-1.81440106758782,-1.53178762033104
-1.81696411971994,-1.56209788742344,-1.57294537665528,-1.35926684946275
-2.93140528872061,-2.35836923982274,-2.14188349944589,-1.76577473975563
-1.3795590766601,-1.24957075286339,-1.34964385924924,-1.19971728668308
-2.23827209792188,-1.86312362382933,-1.78802911270377,-1.51294478432942
-2.51853387616526,-2.06337145332023,-1.93110675057202,-1.61517415934938
-1.72861154371347,-1.4989697231546,-1.52784012557961,-1.32703902059805
-1.44415616655423,-1.29572555543335,-1.3826215956111,-1.22327997214585
-2.38926692568799,-1.97100985331818,-1.86511412737295,-1.56802224430462
-2.11922865377141,-1.77806674787691,-1.72725573540094,-1.46952203516968
-2.30301994889043,-1.90938614561135,-1.82108381474588,-1.53656246198739
-1.50548136008941,-1.33954257884445,-1.41392898218312,-1.24564918798174
-1.91216447198857,-1.63011880710806,-1.62154651524862,-1.39399249979973
-2.32685998674137,-1.92641991976548,-1.83325449432903,-1.54525844680997
-2.00394199052589,-1.6956941024564,-1.66840024836925,-1.42746962400753
-2.04176610001261,-1.72271953515941,-1.68770999611205,-1.44126649312665
-2.27023874038132,-1.8859638798526,-1.80434853992765,-1.52460506102001
-1.49798509686298,-1.33418647766721,-1.41010203281457,-1.24291482188507
-1.60672089240614,-1.41187850967371,-1.46561320838604,-1.28257771309466
-1.69264930039911,-1.47327459907289,-1.50948088709154,-1.31392129301712
-0.911970073353958,-0.915477093739602,-1.11093299933272,-1.02915770530241
-1.56925998587898,-1.38511258650773,-1.44648888093795,-1.26891332729808
-1.82044522884988,-1.56458514969609,-1.57472253255073,-1.36053663235273
-2.06886112374769,-1.74207900589053,-1.70154239244629,-1.45114977924561
-2.42375352381876,-1.99565062476227,-1.88272002793345,-1.58060170981565
-2.16591914286149,-1.81142723376535,-1.75109189647789,-1.48655303935788
-1.2105138741373,-1.12878747979914,-1.26334387064031,-1.1380557018878
-1.79480697042093,-1.54626654187699,-1.56163383569716,-1.35118472160622
-1.80912628206031,-1.55649773035215,-1.56894404866342,-1.35640788934884
-0.868512253413108,-0.884426359058241,-1.08874716199517,-1.01330586207167
-2.32863817947853,-1.92769044348179,-1.83416228710085,-1.54590706730087
-1.76891735614392,-1.52776833959688,-1.54841681809564,-1.34174112532407
-2.10014095835184,-1.76442853576782,-1.71751119445747,-1.46255953323472
-1.55192881941635,-1.372729419283,-1.43764107309731,-1.2625915436894
-2.60214681775235,-2.12311313545437,-1.97379235062951,-1.64567314075028
-1.31157225329382,-1.20099397618549,-1.31493561556941,-1.17491814887024
-1.35360099178785,-1.23102362815024,-1.3363918864316,-1.19024871480061
-2.1090806936629,-1.7708160018129,-1.72207505692738,-1.46582042581673
-2.36461214673175,-1.95339394435082,-1.85252751082704,-1.55902907135128
-0.953357410507053,-0.945048462640711,-1.13206182565587,-1.04425431118788
-2.30739230405337,-1.91251020568344,-1.8233159644616,-1.53815733924277
-2.09891912606181,-1.76355553315715,-1.71688743163464,-1.46211385294192
-1.55432621121596,-1.37444236247248,-1.43886497582812,-1.26346602563584
-2.08064524189219,-1.75049879147702,-1.70755835294951,-1.45544819996007
-1.43879339552783,-1.2918938404388,-1.37988382446123,-1.22132382695245
-1.93231996543318,-1.64451996391189,-1.63183618232416,-1.40134449589059
-2.69889302533135,-2.19223857310984,-2.02318267042222,-1.68096266327577
-2.83032577129597,-2.28614764008431,-2.09028096312921,-1.72890458229639
-2.14368118087796,-1.79553814732832,-1.73973909949091,-1.4784414339526
-2.59645304620435,-2.11904491965538,-1.97088559898912,-1.64359625852072
-2.5974913215155,-2.11978677028794,-1.97141565335439,-1.64397498385681
-2.08433295307963,-1.75313367150134,-1.70944098214407,-1.45679334381918
-2.27515615604295,-1.88947738718535,-1.80685895080741,-1.5263987566604
-2.23507086064564,-1.86083633078399,-1.78639483538416,-1.51177708858407
-1.7775917642755,-1.53396622862533,-1.5528452272535,-1.34490523613332
-1.85441328724474,-1.58885542303919,-1.59206371117512,-1.37292695329522
-2.61676624588634,-2.13355875800975,-1.98125577734972,-1.6510057801514
-2.16912823675219,-1.81372014038384,-1.75273018471132,-1.48772360091245
-1.96813337411041,-1.67010874522639,-1.65011943860571,-1.41440793397107
-2.00338055895332,-1.69529295801737,-1.66811362953834,-1.42726483404602
-1.66929240406866,-1.45658603089519,-1.49755685815031,-1.30540154077251
-2.2684359140153,-1.88467575533913,-1.80342817133671,-1.52394745507095
-1.95528953430638,-1.66093178553105,-1.64356247507028,-1.40972296506717
-2.09209256799462,-1.7586779382014,-1.71340237630835,-1.45962377110087
-2.14619436268091,-1.79733382280113,-1.74102211467105,-1.47935815191049
-1.72032630995761,-1.49304990031313,-1.5236103954951,-1.32401686654599
-1.8919133352855,-1.61564931292683,-1.61120802092455,-1.38660561650236
-2.01840965098909,-1.70603128658377,-1.67578619552739,-1.43274690404345
-1.57110036441375,-1.38642754215148,-1.44742842044701,-1.26958463092211
-2.38039938711643,-1.9646739720467,-1.86058712236899,-1.56478768648579
-1.55836431135725,-1.37732759639066,-1.44092648358459,-1.26493897873097
-1.91446337981605,-1.63176138322221,-1.62272014050602,-1.3948310583499
-1.65617420864196,-1.44721304333514,-1.49085983215372,-1.30061649684584
-1.98886818280261,-1.68492382440539,-1.66070485438351,-1.42197124334221
-2.07319783620852,-1.74517759915162,-1.70375634605387,-1.4527316553305
-1.64539691882403,-1.43951263942219,-1.48535787188131,-1.2966853307432
-2.07049842617511,-1.74324886308392,-1.70237825870411,-1.45174700803978
-2.21049188047249,-1.84327458026052,-1.77384691519887,-1.50281156428933
-1.8476283443663,-1.58400756225295,-1.58859990099663,-1.37045205117208
-1.48304995119642,-1.32351527404607,-1.40247742778786,-1.23746702013024
-2.16022955013247,-1.80736200374428,-1.74818727818422,-1.48447768141057
-2.07473313613034,-1.74627457526762,-1.70454013857674,-1.45329167729446
-1.11269027692047,-1.0588922442146,-1.2134035280603,-1.10237318653248
-0.992965807510966,-0.973348773797517,-1.15228247764269,-1.05870202395354
-2.20818001775488,-1.8416227478409,-1.77266667628514,-1.5019682802631
-2.42796897157011,-1.99866257404708,-1.88487207417607,-1.582139352914
-1.44134342659952,-1.29371584481785,-1.381185651719,-1.22225398619276
-2.02713310705018,-1.71226422049592,-1.68023964435332,-1.43592890576601
-2.1011923877958,-1.7651797850653,-1.71804796419528,-1.4629430567234
-2.1291596409322,-1.78516246615899,-1.73232564608791,-1.47314450062731
-2.54223544331256,-2.08030628976682,-1.94320673888462,-1.62381963506016
-2.13764239188729,-1.79122341559532,-1.73665621152172,-1.47623870182029
-1.79243039096247,-1.54456846916386,-1.56042055796356,-1.35031783125018
-1.9422564189545,-1.65161958792395,-1.6369088836662,-1.40496895527911
-0.819651509883181,-0.849515220263272,-1.06380305505142,-0.995483227442783
-2.18922894669025,-1.82808215421802,-1.76299188402487,-1.49505561395863
-2.11063746570175,-1.77192831981697,-1.72286981127246,-1.46638828003352
-1.85950462310205,-1.59249319684133,-1.59466291079707,-1.37478408874184
-1.75245359897879,-1.51600493875697,-1.54001183508159,-1.33573574130053
-1.85522231856299,-1.58943347819351,-1.5924767332101,-1.37322205870187
-1.65639870635915,-1.44737344758603,-1.49097444144252,-1.30069838550531
-2.34443334313353,-1.93897613237662,-1.84222594358538,-1.55166857255824
-2.24460548860756,-1.86764884930272,-1.79126239904301,-1.5152549765205
-1.58732548953057,-1.39802043972112,-1.45571157839449,-1.27550297059264
-1.71031936699068,-1.48589991139374,-1.51850170828501,-1.32036669515343
-2.57772984015681,-2.10566713622865,-1.9613271350723,-1.63676670914511
-1.72161727047319,-1.49397229523556,-1.52426944926372,-1.3244877623189
-2.57602824413077,-2.10445134107806,-1.96045844601474,-1.63614602836813
-2.31667259921486,-1.91914100270033,-1.82805368759584,-1.54154245575886
-1.84842913667047,-1.58457973060851,-1.58900871689733,-1.37074415128394
-2.0234903065773,-1.70966142930357,-1.67837994271954,-1.43460014371362
-1.62519358851018,-1.42507730304063,-1.47504378340126,-1.28931588549008
-2.1606028194068,-1.80762870569154,-1.7483778374763,-1.48461383656118
-1.26722440743758,-1.16930731548216,-1.29229540729904,-1.15874165632895
-2.23817052103086,-1.86305104685476,-1.78797725625114,-1.51290773274804
-1.48864637836513,-1.32751393701203,-1.40533448373326,-1.23950839464584
-1.09411517290727,-1.04562028010832,-1.20392067234582,-1.09559765943028
-2.00081978789484,-1.69346327988752,-1.66680631936403,-1.4263307572464
-2.44416711428259,-2.01023619261287,-1.89314145722102,-1.58804785037791
-2.41788292952888,-1.99145606861645,-1.87972300575959,-1.57846032903582
-1.98392417761352,-1.68139131878043,-1.65818086917048,-1.42016784880249
-2.13319804446502,-1.78804791685128,-1.73438730873008,-1.47461756438872
-1.89603888774712,-1.61859703177408,-1.61331417433872,-1.3881104690456
-1.78486947464037,-1.53916617316776,-1.5565606022669,-1.34755988203916
-1.5585302856447,-1.37744618548626,-1.44101121582722,-1.26499952015686
-1.92758017980999,-1.64113337374163,-1.62941645411427,-1.3996155932731
-2.33893389853467,-1.93504676372982,-1.83941839862608,-1.54966257378159
-1.58679210149759,-1.39763933247008,-1.4554392761908,-1.27530840990158
-1.66365641379881,-1.45255909998209,-1.4946796046771,-1.30334573506644
-2.44324733497878,-2.00957900771113,-1.89267189675875,-1.58771234810581
-1.18690442855548,-1.11191846447042,-1.25129091170172,-1.12944382879714
-2.09276185974764,-1.75915614904299,-1.71374405930082,-1.45986790456083
-2.67125778798045,-2.17249311822951,-2.00907448732684,-1.67088232673963
-1.61214342465765,-1.41575292423183,-1.46838148849427,-1.2845556570247
-3.0264563064617,-2.42628345956706,-2.19040840063152,-1.8004459182502
-2.47272274992015,-2.03063927465993,-1.90771951677826,-1.59846391496875
-2.37405069573901,-1.96013781418599,-1.85734602480824,-1.56247191315495
-1.42135031794019,-1.27943071240022,-1.370978884394,-1.21496122220703
-1.74967234803699,-1.51401772712985,-1.53859196678002,-1.33472124140213
-1.91362764211438,-1.63116424628177,-1.62229348448114,-1.39452621141909
-2.32407745723194,-1.92443179459818,-1.83183397330042,-1.54424348053627
-2.23698036838886,-1.86220067944177,-1.78736966634078,-1.51247360804672
-1.09680997924912,-1.04754572682544,-1.20529640944533,-1.09658062746057
-1.22070998264891,-1.1360726280327,-1.26854912956086,-1.14177487403932
-2.76901460235699,-2.24234063728667,-2.05898073631372,-1.70654048212668
-2.07763571120104,-1.74834847332638,-1.70602194457773,-1.45435043185345
-1.76761527662616,-1.5268380001161,-1.54775208791772,-1.34126617374073
-1.91353105393464,-1.63109523375545,-1.62224417483681,-1.39449097953941
-2.61203589949226,-2.13017891219528,-1.97884086800102,-1.64928032062379
-1.68044052845126,-1.46455139714849,-1.50324813476077,-1.30946797393161
-1.50880810978653,-1.34191955086784,-1.41562733538499,-1.24686266612534
-2.45695262366215,-2.01937147505573,-1.89966864224224,-1.59271154244958
-2.21091607625384,-1.8435776693404,-1.77406347319964,-1.50296629559049
-2.52420979224174,-2.06742691133457,-1.93400438673937,-1.61724452854778
-2.2602533905727,-1.87882931930562,-1.79925087633306,-1.52096276603178
-2.37033160550363,-1.95748051374358,-1.85544737616185,-1.56111532335241
-1.73604552613854,-1.50428132452395,-1.53163527971016,-1.32975066890766
-1.06753454998472,-1.02662835020578,-1.19035088496823,-1.08590200815008
-0.888195307206043,-0.898489956401027,-1.09879564188557,-1.0204855292398
-2.3993331099378,-1.97820217030094,-1.87025305810348,-1.57169402477766
-2.09254593247508,-1.7590018683989,-1.71363382534633,-1.45978914209003
-1.21836613478125,-1.13439794213333,-1.26735256177152,-1.14091992298551
-1.97882049046904,-1.67774471994883,-1.65557536404014,-1.41830620805238
-1.90883354815267,-1.62773885265077,-1.61984603108932,-1.39277749908106
-2.03168570152798,-1.71551706206585,-1.68256380881177,-1.43758952781409
-2.24010466590568,-1.86443299881243,-1.78896466481509,-1.51361323894653
-2.43468816240067,-2.00346345481002,-1.88830231699565,-1.58459027106472
-1.46276847050155,-1.30902409899728,-1.39212344242289,-1.23006906844054
-2.05384334728579,-1.7313487623335,-1.69387560321919,-1.44567183676086
-2.03312343680929,-1.71654432797156,-1.68329779319315,-1.43811396172076
-2.07785400422156,-1.74850444430404,-1.70613338628033,-1.45443005726366
-1.3890914600183,-1.25638166760645,-1.35451027700587,-1.20319435586913
-1.91151172712109,-1.62965241906277,-1.62121327967738,-1.39375440204603
-1.62944658558481,-1.42811608142263,-1.47721499910935,-1.29086722522547
-1.77741798586175,-1.53384206345952,-1.55275651089301,-1.34484184804401
-2.05933358502458,-1.73527155265287,-1.69667844794503,-1.44767447720747
-1.78850708158427,-1.54176525356903,-1.55841765253001,-1.34888674967974
-2.03911505933939,-1.72082535913572,-1.68635660201103,-1.44029948923167
-2.12120906347614,-1.77948175618579,-1.72826676282087,-1.47024441710727
-2.11786179177473,-1.77709012113257,-1.7265579328429,-1.46902345327766
-1.7698095318472,-1.52840580164835,-1.54887228652587,-1.34206655879961
-1.24115967202811,-1.15068398865995,-1.27898898785996,-1.1492341821822
-1.51369590460626,-1.34541189402566,-1.41812262440219,-1.24864555715236
-2.47265236929501,-2.03058898750514,-1.90768358646461,-1.5984382426585
-2.25827343545288,-1.87741463579893,-1.79824008098521,-1.52024054991035
-1.92478682302539,-1.63913751245575,-1.62799040560716,-1.39859667760045
