"V1","V2","V3","V4"
-3.25396646968262,-3.08091454221625,-2.80340119104046,-2.76852323452528
-3.01480072840145,-2.53469723197139,-1.9237507924826,-1.39124084511225
-2.43249810695014,-1.79364671338648,-1.62652304733158,-1.12610009033581
-2.48165372337161,-1.92182081032342,-1.79637207652468,-1.25462319727351
-2.53567222371768,-1.94678625811907,-1.77795878789875,-1.27296677837788
-3.67211749493757,-2.85412253521418,-2.0289166712522,-1.4059207757446
-1.92200208318612,-1.96634607800093,-1.8229044208144,-1.95708997726864
-2.2388934915176,-2.59771785144601,-2.25867538935647,-1.66448664597265
-2.97435175171372,-2.21073252867581,-1.50668299122404,-0.991224375855098
-2.92991398506415,-2.88456684044997,-3.31427701174943,-2.84464901473139
-2.91092225179089,-2.96959997571703,-2.3491050363638,-1.48459332676929
-2.57281118656013,-2.29967031170922,-2.06848069136171,-1.89463129559572
-2.34145356072664,-1.80482545041164,-1.2260748977675,-0.808560586069531
-2.81052849560543,-2.61433353216934,-2.3679603272202,-2.31444762855201
-2.40702993653704,-1.88196265189657,-1.29978333480938,-0.836905370934481
-3.17023000307861,-2.56983229451069,-2.37514284110709,-1.83719456179879
-3.08799672651334,-2.50192301865808,-1.96327789477325,-1.67490157089333
-2.50116368087239,-2.20204815085482,-1.88511227808801,-1.72279559476198
-2.96226387105396,-3.50613636524825,-2.72669239902815,-2.0016166367681
-2.63943537475172,-2.16033641900211,-1.76957728835909,-1.5556069974287
-3.46506024678385,-3.02918992484615,-3.32207311938499,-2.55365289865132
-2.54061634895413,-2.02713433909936,-1.83274245733517,-1.7931960073375
-2.39803427825537,-1.91977476744033,-1.69772258560491,-1.25489352564587
-2.67709436087473,-2.07383456568705,-1.43060146178783,-0.992148229489411
-3.43585750625939,-3.73568158640854,-2.99204491871508,-2.32260620975899
-2.83150163508653,-2.63592395981365,-3.03152248202636,-2.41436596639444
-1.95761912386625,-1.31314532239352,-1.21617074546115,-1.36700399450555
-2.96195155707142,-2.62361642648461,-2.2270598681472,-2.11977794190347
-2.65931191608815,-2.1862668527395,-1.91402549798666,-1.75935760864764
