"V1","V2","V3","V4"
-3.88283502137771,-2.95559155122049,-2.38056625208477,-1.89930298059877
-4.24700738627115,-3.22246370173858,-2.70576858964611,-2.07832570422132
-4.66421210258211,-3.83533422043628,-3.32883577541622,-2.66254455252454
-5.05100733245806,-4.40450821847774,-4.05468439339134,-3.45161553066223
-4.47449115806385,-3.38572994288509,-2.83431901587953,-2.0816310782559
-5.54657079422983,-4.75158519046823,-4.40773672460855,-3.54875755839033
-4.22820201457373,-3.00633110295997,-2.51142222584241,-1.84283271731608
-4.08600231403284,-2.933078046451,-2.33364467586231,-1.70705352368127
-4.53121479732687,-3.6359600859342,-3.10546526847612,-2.42879566167675
-4.41653464112983,-3.53940036255013,-3.06980488097328,-2.40314299890683
-4.57017481306961,-3.56470278905761,-3.01103763053933,-2.26299413172625
-5.32311476500375,-4.71996640133883,-4.39942048705603,-3.7473739980644
-3.81728536293846,-2.52635728575516,-1.93368594100714,-1.28337035801402
-4.62639150914537,-3.80226026660186,-3.28674860627619,-2.60755516704933
-3.94826472113672,-3.0259131320685,-2.4246896520427,-1.95903183274544
-4.07017055430854,-3.17242486377815,-2.58208638380444,-2.04530829156502
-4.38577913935702,-3.30993038774094,-2.7687039801627,-2.07931405763284
-4.86269711320796,-4.08250658322578,-3.66470225041136,-3.04549717520357
-4.51106180080176,-3.73011853321226,-3.22639400333923,-2.57650695845517
-4.61809057245754,-3.79058266207124,-3.29352090207616,-2.71705562693043
-5.04622949223435,-4.17358127308894,-3.74040542002651,-2.97890639288255
-4.53403669494707,-3.48589718307304,-2.94890779549645,-2.24105533106523
-4.52952274417729,-3.91544255939623,-3.51346398215292,-3.06224564939521
-4.7614862081676,-3.78865766028951,-3.29787296972009,-2.51328753966763
-4.26907478808343,-3.50828711519579,-2.99410597447585,-2.47095961250309
-4.44815601250731,-3.65690194631314,-3.15634363720126,-2.62732076973354
-4.59929537247782,-3.82004507443652,-3.31431490692238,-2.71356963734604
-4.31720755527916,-3.53570348712124,-2.99756043280067,-2.42107913554286
-4.60227562259298,-3.81020989825494,-3.35446408536257,-2.75885720144683
-4.50138827188761,-3.54916334763364,-3.0109752631896,-2.29503674438513
-4.16882503156419,-3.12442063171639,-2.51039084932514,-1.84373632759977
-4.39941754783698,-3.39626573603667,-2.8227187748331,-2.16345060421355
-4.65973697283904,-3.76175775205164,-3.34711853215185,-2.71930171132755
-4.19808807324552,-3.22530487900105,-2.71364451102613,-2.05966126423315
-4.65431686862299,-3.83801248627577,-3.39177966462977,-2.80249701132214
-4.78408279946794,-4.05645978274336,-3.59425506710908,-2.95440362555204
-4.50609513243425,-3.72804113059844,-3.23863647108397,-2.65012909152988
-4.1803233941216,-3.34075952884532,-2.84649917267858,-2.35537729998758
-4.55760746830294,-3.71210194833858,-3.18182546055071,-2.51596972091772
-4.55637554547438,-3.64300559087623,-3.14672779467981,-2.53108766281858
-5.16020899699018,-4.42970354470884,-4.02155311481592,-3.29630978299438
-4.47206054244193,-3.62696262612639,-3.12636187467402,-2.56508853624596
-4.19607053568373,-3.19586541430224,-2.61573855816336,-2.01021914024961
-4.15939880427465,-3.33179395903895,-2.80114631385095,-2.29019426790994
-4.51620775764779,-3.79865631980897,-3.31428859250807,-2.78259687689212
-4.68372587804979,-3.77044224206293,-3.24141779082043,-2.55872059703441
-4.71072643477332,-4.07871963113356,-3.6719854337136,-3.10938764555218
-4.38804079620804,-3.57746259238516,-3.02721674512642,-2.435022509065
-4.4194884020417,-3.76948961135039,-3.32880267410291,-2.81986532072538
-4.27918789270059,-3.33305983605359,-2.75809401606298,-2.15119740317931
-4.47112424537783,-3.36140960141346,-2.75406277741651,-1.97422516253067
-5.5430030798254,-4.98638086292859,-4.76577599585744,-4.04021355854842
-4.48524756168021,-3.63298408242722,-3.14423132581972,-2.53470780669749
-4.36662123877319,-3.49647722568376,-2.92098385074754,-2.33943255125283
-4.52697158737711,-3.86673131574395,-3.42387342704437,-2.87614249803979
-5.06939366757508,-4.38393768045207,-3.9951506887566,-3.34549891970812
-4.50692014433431,-3.73747147565645,-3.26732170071004,-2.59705528035155
-4.92397999171207,-4.18281969689624,-3.72491381963684,-3.04899840994144
-4.94043885684046,-4.09916103543757,-3.61857259524545,-2.8373491186625
-5.07145808180308,-4.3447105896315,-3.95409345242166,-3.22681350274138
-4.68657979131476,-3.71555831628627,-3.15167689252,-2.4072116792736
-4.65178019722184,-3.73003294477874,-3.21988606658433,-2.54680914075784
-4.62118420033527,-3.95269231590301,-3.48855719957161,-2.93667369489475
-4.84480728102262,-3.98794806324667,-3.51514951276612,-2.81413106670241
-4.16798271649903,-3.38981162335292,-2.8859369373945,-2.37884070099739
-4.83221668586639,-3.96369696143952,-3.46453574778997,-2.70837405078813
-5.04241748187464,-4.25303510094739,-3.77318541484654,-3.02955193418274
-4.22952711671002,-3.49615918098001,-2.98504883674602,-2.51040386264041
-4.19755273037452,-3.13307564140402,-2.59865202501362,-1.96969558315017
-4.96647530243239,-4.05435774914548,-3.59953757427326,-2.87638232719361
-4.45152373396202,-3.56250488926045,-3.07886820357474,-2.46565617649014
-3.83648699646185,-3.06973501007588,-2.54353941321941,-2.16935801646263
-4.54044536488569,-3.55690955848481,-2.99110990421112,-2.26105111243885
-3.82236050907954,-2.90034811768061,-2.22729398807501,-1.71390637387931
-3.88305266060929,-3.16323503963853,-2.66727410759898,-2.32099346389441
-4.42958549738216,-3.18154238092674,-2.51257927440286,-1.61370396753333
-5.01773238183833,-4.25303827888395,-3.81170901838499,-3.11318093464388
-4.97636566524299,-4.2381087777693,-3.86383409487065,-3.20348851336976
-4.78117795413086,-3.75324442659748,-3.24917623428524,-2.51602076903189
-4.776694836756,-4.06900484011843,-3.64491903129148,-3.08152145042748
-4.55341725890772,-3.67866408647093,-3.15657143389133,-2.43364224898895
-4.54032596056672,-3.65514720019754,-3.06260280509322,-2.43124184835699
-4.32089846015699,-3.43800144133188,-2.88704457722284,-2.28977313251438
-4.50537866667927,-3.68735764913126,-3.18663656674537,-2.53706490985698
-4.71024517218345,-3.84664692554071,-3.32188701357955,-2.57721551170227
-4.98878276301119,-4.30600239287953,-3.88604969601225,-3.15301467765212
-4.16560755361986,-3.03358860240294,-2.4885966713335,-1.80619889549718
-4.57686154638651,-3.66854649049026,-3.13954097047816,-2.48815244682893
-4.31283533235654,-3.65815724875726,-3.17543361831528,-2.77847865724437
-4.21759101092766,-3.2902668083769,-2.75842080847923,-2.12164018849744
-4.6754783132713,-3.97393784890682,-3.49971737155209,-2.86199886006767
-4.12681783453745,-3.20461467349764,-2.56466032415399,-1.94266575322983
-3.87921849330773,-2.96533654628172,-2.33808782388715,-1.85658504943786
-4.43219395887394,-3.66862315955196,-3.09825396533467,-2.46055939200198
-4.93069821668904,-4.10616515685522,-3.67285109916039,-2.98746901175039
-4.14391297211105,-2.94092572508341,-2.34293612408984,-1.66420505081554
-4.41523924758037,-3.56520285532735,-3.04746939208745,-2.43702440229565
-5.12013368036541,-4.25467139998227,-3.78040051376854,-3.00694235818472
-4.50759252252487,-3.60944056263455,-3.09610675986357,-2.50913431786461
-4.75794592143648,-3.76638658747491,-3.30212718697322,-2.59943995799525
-4.55612563350743,-3.73267632642668,-3.22019352438324,-2.53643872133725
-4.5056271597907,-3.52806381141194,-2.99881151626403,-2.32585382699964
-4.17493732539912,-3.17006503794278,-2.52817274319338,-1.85253701735084
-4.87101243664295,-4.1666855929288,-3.77130514685704,-3.19058386672502
-4.02003644169936,-3.03083703236177,-2.44700318170946,-1.84838516375129
-4.45503010207987,-3.57053187819605,-3.04466554860212,-2.43721727855311
-4.27041363946819,-3.29184619163959,-2.6094403184969,-1.9509533370185
-4.28202193727125,-3.68523286942555,-3.22542381281628,-2.79621000496754
-4.74040270408808,-3.79310547618486,-3.33506463970132,-2.68669136050056
-5.1184321211207,-4.67510732028378,-4.39439268089688,-3.91296976678845
-4.7751550279293,-4.04696133587617,-3.64381710836265,-3.01720323335724
-4.73981079181655,-4.09713570786574,-3.67909282651123,-3.1234220747425
-4.58095571977421,-3.67607253641102,-3.09112342963445,-2.35616462404821
-5.09380623930471,-3.93347865451975,-3.35140895819996,-2.43845519772949
-4.33584708879614,-3.32935252089855,-2.75513841793718,-2.01741746273475
-4.22631768023097,-3.37339802495261,-2.79102289732564,-2.1614955524682
-4.31103465558011,-3.62693645248496,-3.15862206985719,-2.72016428589891
-4.68979558090437,-4.0036894934246,-3.5413800484206,-2.96973173514217
-4.43119272683658,-3.46226541424938,-2.91301910659248,-2.19477525719074
-4.69821086932629,-4.20310483622952,-3.86989465975179,-3.4122962735851
-4.27220832128953,-3.280849811906,-2.68682067806014,-1.98856902179374
-5.37121417736679,-4.66315191380315,-4.32783424904657,-3.63349600236312
-3.96965978194847,-2.9779396734147,-2.32034824500466,-1.71458257953651
-4.90248280899186,-4.21248121570348,-3.77420564531718,-3.12843583412354
-4.40322346339919,-3.68699288985268,-3.27034696200018,-2.7609608508484
-4.40594779362377,-3.57658883565436,-3.04386943814437,-2.50323913467626
-4.41371535067029,-3.51655824877572,-3.04454337597859,-2.42219782753501
-4.48675948171822,-3.67578533247229,-3.1316058207779,-2.56196918783928
-4.82066581801301,-3.88887009277696,-3.39656788962098,-2.67847634276006
-4.82807379221418,-4.21984620591978,-3.83955028591402,-3.30156744470427
-4.07911842665631,-3.07651582113731,-2.52403183832703,-1.94616480127616
-4.72414444124774,-3.85929158877001,-3.3586999881241,-2.69407139137136
-4.48001232071868,-3.62871309635783,-3.10737466104025,-2.47523009770908
-4.78283502825992,-4.10626057289471,-3.68521937990064,-3.10407235365642
-4.47248566707118,-3.59316046178631,-3.12373340527186,-2.51892515796831
-4.71628934079275,-3.61363108877129,-3.1312537840545,-2.34800024795819
-4.47533916883317,-3.60723289598187,-3.01683926648294,-2.29112080467872
-4.40158852104292,-3.4451690708781,-2.8897373705837,-2.21695024284773
-4.39569718746932,-3.3262002457056,-2.72137571927294,-1.93209449640617
-4.23924179251457,-3.28966884032202,-2.67424576029855,-2.09188323762529
-4.69668361505255,-3.90984264412508,-3.45256109704005,-2.79566666775897
-4.62680351045202,-3.86966436650424,-3.47144137203182,-2.85858388541597
-4.02075767612451,-3.05472068018147,-2.51888555156577,-1.98726175624288
-4.55072923936339,-3.65572167915294,-3.08412683016272,-2.39323914249106
-4.85830360867751,-3.65871556097615,-3.09907456617833,-2.27747040474091
-4.41632791237084,-3.51542126906219,-2.97127476231594,-2.33665908191299
