"V1","V2","V3","V4"
-4.5626674204878,-4.14076868217749,-3.68325507658619,-3.11850285562867
-4.54865568819999,-4.13122974742118,-3.67676114175957,-3.11408190186289
-4.51505421470135,-4.10835446998685,-3.66118806524793,-3.10348003210488
-4.55552085513685,-4.13590342931553,-3.67994290014219,-3.11624798561319
-4.41822371444999,-4.04243401094967,-3.61631060506347,-3.07292826620361
-4.37971512577745,-4.01621805796401,-3.59846325685784,-3.06077811327393
-4.43940854375518,-4.05685626084818,-3.62612901280887,-3.07961246120323
-4.50200263723274,-4.09946919132303,-3.65513912770582,-3.09936202446856
-4.56323095594678,-4.14115232695929,-3.68351625503779,-3.11868066121033
-4.30120495324247,-3.96276974778119,-3.56207661078179,-3.03600674055635
-4.4730694719001,-4.07977201393394,-3.64172964441435,-3.0902330899724
-4.50940070643691,-4.10450566347449,-3.65856786715558,-3.10169624847712
-4.47864476941054,-4.08356757597485,-3.64431359463036,-3.09199219669938
-4.29510993290429,-3.95862036780802,-3.55925178769567,-3.03408365192155
-4.57391396004791,-4.14842512357207,-3.68846744386728,-3.12205134131187
-4.51425349628697,-4.10780935532465,-3.66081696101252,-3.10322739103119
-4.46788242902084,-4.07624076864698,-3.63932563627967,-3.08859648457064
-4.5038388813102,-4.10071927318955,-3.6559901609057,-3.09994139252973
-4.45770680956264,-4.06931339035263,-3.63460960201462,-3.0853858934575
-4.3902534612197,-4.02339236676173,-3.60334739695825,-3.06410314780938
-4.43219624052786,-4.05194625482502,-3.62278636921948,-3.07733684970439
-4.45785882701522,-4.06941688109397,-3.63468005664573,-3.0854338577003
-4.48520418361482,-4.08803310692056,-3.64735364759943,-3.09406180995862
-4.40023993065336,-4.03019097512912,-3.60797576697832,-3.06725405868483
-4.43494545867176,-4.05381787297806,-3.62406053311899,-3.07820427751821
-4.4416651793133,-4.05839253765646,-3.62717488236595,-3.08032447034412
-4.48987127873907,-4.09121038114885,-3.64951667861829,-3.09553436248395
-4.428267630122,-4.04927172768057,-3.62096559935243,-3.07609730240137
-4.5498351287686,-4.13203268929888,-3.67730777011551,-3.11445403659371
-4.57641261746078,-4.15012616449622,-3.68962548186429,-3.12283971270464
-4.56354201575804,-4.14136409087141,-3.68366042009176,-3.11877880618025
-4.37346944707024,-4.0119661124891,-3.59556860902705,-3.05880748921166
-4.42119588260042,-4.04445740944812,-3.61768809828603,-3.07386603875788
-4.49194161382861,-4.09261982795651,-3.65047620459728,-3.09618759047336
-4.40769377568962,-4.03526541846161,-3.61143035652364,-3.06960588097245
-4.5587326365952,-4.13808995223456,-3.68143144552969,-3.11726136047944
-4.52993660033618,-4.1184861298468,-3.66808551664024,-3.10817569267451
-4.43549902415662,-4.0541947303812,-3.62431709084555,-3.07837893739357
-4.51523751217586,-4.10847925560325,-3.66127301704611,-3.10353786575767
-4.39211194719002,-4.02465759050797,-3.60420873847688,-3.06468953358813
-4.56333117209844,-4.14122055230877,-3.68356270162583,-3.11871228121019
-4.44581376555915,-4.06121682038734,-3.62909760313665,-3.08163342398451
-4.5616109348867,-4.14004944582521,-3.68276543344301,-3.11816951540344
-4.42538683652258,-4.04731053532927,-3.61963045495349,-3.07518836016281
-4.61893990905234,-4.17907797798521,-3.70933535458207,-3.13625783874703
-4.59774509663308,-4.16464893176261,-3.69951232002175,-3.12957049389522
-4.49421777755294,-4.09416939918832,-3.65153112475825,-3.09690576110223
-4.44332095008511,-4.05951975654984,-3.62794227266853,-3.0808468958286
-4.3615435511082,-4.00384717750263,-3.59004138444583,-3.05504465435437
-4.53348313990102,-4.12090055005016,-3.66972921039067,-3.10929468974943
-4.53228641065784,-4.12008583835448,-3.66917456935481,-3.10891710013056
-4.39960888197315,-4.02976136856336,-3.60768329857274,-3.06705495146655
-4.46734941101182,-4.07587789959499,-3.63907860157041,-3.08842830779379
-4.53938797678478,-4.12492045655592,-3.67246589027416,-3.11115777208082
-4.49335346638958,-4.09358099172898,-3.65113054756697,-3.09663305537149
-4.37971584998262,-4.01621855098984,-3.59846359250094,-3.0607783417737
-4.31662372554529,-3.97326657001543,-3.56922265813584,-3.04087164077537
-4.54099855845018,-4.12601691152026,-3.67321233704843,-3.11166593958877
-4.51985521283131,-4.11162290296759,-3.66341315550218,-3.10499483343894
-4.41415083261186,-4.03966126641488,-3.61442297056761,-3.07164319866664
-4.45339780100164,-4.06637989500149,-3.63261253126079,-3.08402632368888
-4.58055320718749,-4.15294500334101,-3.69154449653548,-3.12414614329929
-4.46946508366118,-4.07731821139609,-3.64005913988053,-3.08909584059946
-4.49209480196602,-4.09272411567898,-3.65054720179878,-3.0962359240883
-4.49698083768043,-4.09605044071427,-3.65281170392015,-3.09777755631104
-4.50928808667127,-4.10442899396821,-3.6585156719378,-3.10166071491376
-4.52870487566678,-4.1176475938958,-3.66751465648083,-3.1077870613687
-4.42663458129217,-4.0481599774757,-3.62020873985413,-3.0755820460986
-4.49310590370442,-4.09341245551566,-3.6510158111511,-3.09655494488788
-4.50052677936689,-4.0984644538928,-3.65445512057542,-3.09889636474457
-4.42099479365802,-4.0443205117211,-3.61759490078129,-3.07380259157669
-4.49712094129542,-4.09614582072975,-3.65287663691531,-3.09782176152361
-4.57380539906442,-4.14835121721151,-3.68841712974929,-3.12201708836735
-4.33892967409723,-3.98845205768705,-3.57956066439852,-3.0479095690789
-4.50712445915434,-4.10295603535773,-3.65751290826837,-3.10097805148413
-4.41973681057218,-4.04346409951354,-3.61701187078866,-3.07340567526782
-4.57397198197047,-4.148464623851,-3.68849433494512,-3.12206964827291
-4.5704868244609,-4.14609199144436,-3.6868790895734,-3.12097001834138
-4.48177357152252,-4.08569760805073,-3.64576368207017,-3.09297939008812
-4.35578157612065,-3.99992452880048,-3.5873709159218,-3.05322664752293
-4.42124419705765,-4.04449030105965,-3.61771049030223,-3.07388128283885
-4.54539180589101,-4.12900775518225,-3.67524844949848,-3.11305208824038
-4.43166215654833,-4.05158266007952,-3.62253884047116,-3.07716833659466
-4.44898701591272,-4.06337711202483,-3.63056829074053,-3.0826346415936
-4.40371267531867,-4.03255515709515,-3.60958525944241,-3.06834977214055
-4.53475023917708,-4.12176316839569,-3.67031646541015,-3.10969448238042
-4.48342415553821,-4.08682129589403,-3.64652866849752,-3.09350017905768
-4.43465542172934,-4.05362042105607,-3.6239261114099,-3.07811276564185
-4.55934469491426,-4.13850663050479,-3.68171511258473,-3.11745447589693
-4.46435263775166,-4.07383775038139,-3.63768970476294,-3.08748277188448
-4.51254945424128,-4.10664927421819,-3.66002719870767,-3.10268973509086
-4.43488617927697,-4.0537775166347,-3.62403305924792,-3.07818557380205
-4.44390923628068,-4.05992025118692,-3.62821492219786,-3.0810325107132
-4.45650535458004,-4.06849546145874,-3.63405277076821,-3.08500681278278
-4.4834276184273,-4.0868236533665,-3.64653027342228,-3.09350127166152
-4.51478573480852,-4.10817169371561,-3.66106363445733,-3.10339532186571
-4.45373232483774,-4.06660763279874,-3.6327675710478,-3.08413187198102
-4.49475416047278,-4.09453455901093,-3.65177971898286,-3.09707499956901
-4.50269612041118,-4.0999413021697,-3.65546053225964,-3.09958083089494
-4.37631343162738,-4.01390224590795,-3.59688669375651,-3.05970481753477
-4.28818396440519,-3.95390529330617,-3.55604184997202,-3.03189838418385
-4.32753977920009,-3.98069802256324,-3.57428185706586,-3.04431585220628
-4.54865568819999,-4.13122974742118,-3.67676114175957,-3.11408190186289
-4.49610658646391,-4.09545526624593,-3.65240651987113,-3.0975017143146
-4.40056184290729,-4.03041012718858,-3.60812496174982,-3.06735562779578
-4.45150518768961,-4.06509143797622,-3.63173537294461,-3.08342917011949
-4.42998104667869,-4.05043819078512,-3.62175970640654,-3.07663791616868
-4.51792360809891,-4.11030790128622,-3.66251792606264,-3.10438537737453
-4.39475167648098,-4.02645467062366,-3.60543215822423,-3.0655224156979
-4.54594950549145,-4.12938742701674,-3.67550692323917,-3.11322805250362
-4.43045430232829,-4.05076037470013,-3.62197904340796,-3.07678723684533
-4.50889747189288,-4.10416307046857,-3.65833463601297,-3.10153746891962
