"V1","V2","V3","V4"
-4.74204084913653,-3.07280291591228,-2.6208587041309,-2.61362622613134
-4.26556044963868,-4.41674919796183,-4.33292194644637,-4.72243465807646
-4.41500497748344,-5.07448937008052,-5.1157710897026,-4.8652646195276
-5.22704322541583,-6.48984697710176,-4.63719964686933,-5.30518383531309
-5.9282319210428,-6.7087199095058,-8.01635423827472,-7.38387709639665
-5.71994632998765,-4.35567346691049,-5.70306142189938,-6.23881239667279
-4.11093788396077,-4.83494600599252,-3.79856195826168,-5.60163600157445
-5.90880148285304,-5.39725009265817,-6.1408076754868,-3.8814946291284
-5.65479713729766,-7.06403171370705,-4.53566175198379,-4.30764500893443
-3.04844579475932,-2.41276459733372,-3.6333050154592,-3.10873522849644
-5.14292092301307,-5.23028653932728,-4.87578106595794,-2.0660509336431
-4.252894084869,-4.64051654419189,-4.48755058621782,-3.15392354825271
-4.2588305919047,-5.11795636120556,-3.88770978856385,-3.09208657865893
-3.61909674869074,-3.30394231491684,-5.7193113194802,-5.30180869128858
-5.71093035392904,-4.11201358785658,-3.49509905744131,-4.24732403970981
-3.25025561410965,-3.6443253315826,-2.99885209732796,-0.658270526058798
-5.20311751945605,-5.4399498238881,-4.2409855830377,-3.21918466408595
-3.7615081682732,-3.75745238945627,-3.85436119306193,-2.94414903726297
-6.62920544351002,-6.12894456663805,-3.39895768291268,-1.70172719216076
-4.82829966011965,-6.97651334605838,-6.3812137669352,-4.88711588688555
-3.40836029727498,-2.86117951652252,-3.18371768365636,-3.5770367699981
-5.32210339567047,-5.97531020559854,-4.71980505284847,-3.78976458097657
-6.16605091403229,-6.90035782724807,-4.17930967128575,-4.87784164467544
-4.32545480310911,-4.34852528879802,-1.51050058042809,-2.23166074610494
-5.64768449281979,-4.46836717625587,-2.66713160962864,-2.34448362169717
-4.28484974388579,-2.59438035222988,-3.39551441615277,-3.44763033149307
-3.49603382916072,-1.72775600827266,-3.41775522381464,-2.20033032273728
-4.31937851392937,-2.74298119610217,-1.63427819584568,-0.188946776296834
-5.65657565784576,-4.69234857536428,-3.57807936095757,-4.91758607104795
-4.95512797775648,-4.43309976197231,-3.43405604617695,-2.46801843522626
-4.16044791863771,-3.31704072576352,-3.39824216923445,-2.11189032857404
-4.93084141507578,-2.68282657253314,-4.03483380130205,-2.24564865113325
-5.93747109308772,-4.59502831430501,-6.89115436530323,-3.77353900661273
-5.51910101671354,-5.57093483906929,-3.67586996159217,-2.15929112748599
-3.10674999672911,-3.08948710494913,-2.73516480100152,-0.363456029310151
-3.1790814972578,-2.30218828499271,-4.82301252943572,-2.89843336114353
-4.27177254832333,-4.23243088241983,-4.2743713503832,-5.11207729110991
-5.30931813689285,-4.14420670134905,-6.19133962030545,-6.04464416912374
-5.16013891604783,-5.20711305402519,-4.97120254300118,-4.27097222666109
-5.08554703201659,-4.91506944216837,-4.85956646630948,-4.32910523759593
-4.67804164624358,-2.36258336255227,-2.21812748569433,-1.75584589830691
-5.84179051060022,-3.76305475466566,-2.67677370355642,-2.54132208608942
-3.88201844665012,-3.80623736540057,-4.84222083626444,-3.71561878741098
-4.01080970688093,-2.97207310536288,-3.33976495878253,-0.147149970058272
-4.67468870362915,-3.0058528985887,-3.67218351575186,-3.69011504163677
-4.60858094677448,-4.32110596094918,-4.16374069073305,-4.29960312320387
-3.94687579682857,-4.13029274959916,-5.40454958588013,-4.42175507265533
-5.51493179066756,-3.01256453143631,-1.28670875283911,-2.5585891678957
-4.10504920608525,-3.18093631089186,-2.17627813040122,-3.30964831446066
-6.635655968132,-7.8521589687122,-5.31240557196385,-3.25019077201229
-3.98273205990024,-4.64322733271239,-4.86362227773613,-3.84343912058214
-4.55501770411469,-3.80829189573958,-3.08215394012192,-2.74377328597741
-3.05880908748039,-1.89405267217253,-1.94941070273136,-1.02633411560171
-5.78200728409224,-3.3309901235904,-1.93008562571735,-4.19907215676628
-5.05594633555817,-4.82848245084438,-6.3784149468736,-4.89884392486162
-5.17419067350749,-4.98881459200959,-4.34544810499401,-2.67190149285652
-5.97190847580225,-4.2303577189769,-4.11538354764119,-4.13826851488366
-3.43232507781855,-2.61226564573295,-0.650138022105497,-1.55644443283428
-4.05645201957526,-5.28822276732795,-5.38050003645911,-6.11829918898843
-4.680739715392,-4.92858830613472,-4.14360879097959,-4.41392640688815
-4.89173133955991,-4.95857478205512,-3.58882528154136,-4.09261069360457
-4.24071386822194,-5.16499554019348,-7.8205835944901,-7.35497530880067
-6.09679122943079,-5.82036771503697,-6.28856049439344,-4.1701020278125
-7.27730417192126,-7.14152983624842,-4.92061856322898,-5.70435666118826
-4.61908863614813,-3.08636711384593,-3.40700269132602,-2.59759534828893
-6.86678964172111,-5.03434515857417,-5.89241682650717,-4.68110091881105
-5.71046612755779,-5.20707314372589,-1.82355337882494,-0.944661720245489
-4.88356249141437,-3.50530205118022,-2.98821583215889,-2.22209790097361
-4.12311906054885,-2.3335944637488,-1.24790033427789,-0.624384253364154
-4.58051990373821,-4.10291886152628,-5.235955037337,-4.02225853617499
-4.39995396818893,-3.98046789836889,-4.4951571539959,-2.31577347539764
-5.36192169322357,-6.57954611351396,-4.98099676415157,-5.56157038564016
-6.00976210097886,-6.54487158192381,-5.83443811727482,-4.5629416516318
-5.78397319975268,-4.36418005404615,-3.10396256791962,-2.63798474424463
-4.90297122706713,-3.05305539256491,-1.9249390844464,-1.41677566445965
-4.8959545890628,-3.32746831957016,-3.4346917956766,-3.9355936270199
-2.58403298071634,-4.8330890648439,-4.66920991513347,-4.85070993622756
-6.40270649840155,-6.02224560130684,-5.1168270500408,-5.33739320687513
-5.26338610015348,-6.01750505909661,-4.47463001280546,-5.0449825823448
-3.21739196572911,-4.41758043596714,-3.72958143494955,-3.20234323538255
-2.49642678224495,-3.68205466885943,-4.49593241195989,-5.06966107113226
-5.08780361357983,-3.84312968029693,-4.25782503103169,-4.20430590387658
-6.19180164971507,-6.25643312512011,-6.9269450801076,-4.26042323881101
-6.689214382827,-5.53696317133208,-5.10380942001953,-1.37733095318395
-3.86707338374767,-1.63831363255812,-2.85621552588165,-3.12400660017709
-4.05155911894549,-3.37886882307113,-2.5874056567567,-3.47746420943809
-5.85865290052939,-5.37655821296283,-5.15119397050114,-3.0708602561951
-4.38097105312236,-1.60473103099111,-0.417487319621322,0.787773939486138
-3.49908335292729,-2.47176933613904,-2.18442470301034,-1.94013195635847
-4.89281754871386,-4.82902468833067,-4.40070936913775,-4.47192206527883
-4.8691736893815,-5.18469346052867,-4.44854147811019,-3.03258632163494
-3.77022397370678,-3.12276209561599,-2.06104910580522,-2.81953569621134
-2.93306342576473,-3.89185329095981,-4.86030500497974,-1.98975593911504
-4.69892586575867,-4.46587689301191,-4.02992091558612,-4.66396975905922
-4.85602324627773,-4.8747448700862,-4.65241936601684,-3.32475660472413
-7.00216929703591,-3.59969965049662,-3.43715106057628,-5.16004272964678
-3.63284284972249,-3.40236701557893,-4.2230930949003,-3.84501456497036
-3.45806687739795,-3.20604835474692,-2.7091315137182,-4.58973361113264
-5.28649847711474,-6.82552791583067,-7.09706572982835,-6.04242308971148
-4.54069676380573,-5.34517226015944,-5.15750100234261,-4.50243744638583
-5.17866669319187,-2.23885551143295,-4.43354736936515,-4.31980558226701
-4.06896205403357,-4.15580209858838,-3.50666636847932,-4.73544241761179
-6.35291218998597,-4.94735506163334,-3.90122422674882,-2.77572974871018
-5.30768257786954,-5.84122444277841,-5.22554592232123,-5.27173866858788
-5.92051150422883,-4.92985376556204,-4.64578418924922,-3.28585864494979
-3.75778138264218,-4.2233392225617,-3.74535054162974,-3.42366750249932
-4.74015588462375,-3.0767025503346,-2.37110873296794,-1.88297570407144
-3.9229046282075,-4.41122059557983,-3.63721917602728,-1.85890844130682
-4.90306106657348,-4.09100950994921,-2.69029261197887,-2.04987826243197
-3.08518196958656,-4.11782829176146,-4.81327630311882,-2.5284863609979
-4.85651662591383,-3.19784641836159,-2.28042118546913,-4.0024902116104
-4.52818807199599,-3.3410255478687,-3.22114072281618,-2.73913337909718
-5.73797409036086,-5.56162241385645,-6.16347235904801,-5.20077958369113
-2.24824333963625,-3.44953658466614,-4.20698619227982,-4.76605355525535
-5.91871370293653,-5.19098280544619,-3.46138897458022,-5.65381530013176
-4.80264309702883,-5.18909387041243,-4.57777936124812,-5.026511202314
-5.22888301213338,-4.62525634289403,-5.13910725320589,-4.56545120794662
-5.44671124459948,-3.58782224258283,-4.07362313875079,-3.37226438429376
-6.56139067986253,-4.36714533095785,-4.42507452939252,-4.17550493168913
-6.56014747645772,-3.97214238245154,-0.415936636398309,-3.63121081891335
-5.39349246366434,-3.94974771942449,-2.45564024862934,-1.78318490505642
-4.65563805598569,-5.15797871122031,-5.77069186810277,-3.40689031744319
-3.86858310824638,-1.76330162605502,-4.47394610595355,-3.18997433791858
-4.34549387233813,-3.31329853833683,-2.32483409296834,-2.74227701977506
-4.99123662957485,-5.41877106374259,-3.87513392827156,-5.58882564197535
-4.079865424659,-3.97108994441169,-3.16718554051585,-4.18270585268928
-6.56448727851302,-4.92060573795555,-2.79751081586871,-4.57996037775777
-5.83535599674778,-6.01436493120158,-4.63821035164132,-2.28720263043253
-4.93341793408287,-3.92015313154085,-4.83732811706244,-3.40244337929035
-3.16215663563186,-2.78818681512334,-3.08740770951834,-4.19839838908969
-3.4345527893743,-2.6727633598529,-3.40113614410147,-1.54595802346717
-4.69620095606399,-5.09836973150798,-3.05415336145841,-3.81721605940072
-3.85024974138537,-2.83613655978839,-2.09888696711014,-0.458856894058585
-5.35258090457857,-5.33427366824409,-2.21510286037196,-3.11713329373033
-5.7446343800965,-6.46054822527713,-3.82263226094538,-2.85131799119455
-2.81879437889099,-4.12411073972113,-2.91287225221559,-0.675795336990938
-4.08230148972436,-2.91119875273686,-2.52418078966798,-2.50241106759727
-3.22594557698932,-1.51351291465231,-1.89240891686066,-2.69787639812061
-6.3527631751678,-6.98619234536912,-5.30093221175772,-4.23143388666978
-3.94958004736233,-1.53219752030781,-0.458802478240003,-0.387310320522943
-5.03703014247902,-7.04286792254019,-7.11346774169023,-4.07741679433591
-3.9772037903279,-2.17145697777241,-2.52586692851425,-3.63353787175772
-5.54814886713565,-2.85661717681692,-2.39694476771731,-1.22875550005058
-4.52135647681524,-4.78551344552181,-5.55131035801993,-4.30770389717152
-4.55188610080188,-4.76907728111819,-6.81428113112612,-3.28971863727167
-3.84229692395814,-3.6047134709636,-4.51114637105706,-2.82787340922142
-3.64736153513722,-3.56377505492277,-4.30909966389116,-1.90973060748426
-4.86655194869146,-5.43795241260977,-5.78325016483581,-4.02761740415643
-5.65971504534312,-4.97183215531845,-4.20965977321032,-5.31180236606729
-4.01984771648631,-4.46032846212858,-5.68888603081645,-5.1116889269488
-4.9065671461212,-3.98961418797948,-4.46190728034656,-4.2750346688391
-3.08463662965106,-4.12493240423235,-3.1003707925933,-1.10525208096778
-4.95096411675191,-4.9941441509928,-3.81820543501154,-2.64330119269597
-4.83473189559727,-4.78151395641734,-6.34635468480848,-5.84075288344766
-4.61143596220604,-4.49131932170592,-4.03417958632814,-4.57326310467532
-4.49010051425626,-3.83734359798354,-5.22093375097299,-2.82703798007106
-4.40877083266456,-3.78611728748127,-1.75173895999788,-3.2567234689132
-4.13909437990145,-3.1663510833843,-2.7177714811103,-2.34482117373041
-3.96988217139238,-3.95574833486289,-5.65260405450219,-2.54153463066784
-6.15565428464391,-6.63045275107924,-3.54957452094144,-2.72723710774957
-4.8741776619151,-5.04172737242743,-4.65501368576557,-4.93269053362546
-5.10923961688917,-3.83614718474767,-3.37109844109288,-4.68066484225931
-5.02820714599471,-4.97028487727028,-2.19060426244834,-1.46327852082763
-3.17955210086187,-2.09121335476879,-2.50897474005235,-3.2479947510926
-5.10292117325623,-3.90613600477814,-4.07506381830424,-2.73951952580884
-4.64327395114722,-3.22633172253115,-1.9798474343606,-0.51480740586689
-5.13757515989635,-4.00910949226561,-4.60122663295885,-5.0997077989128
-6.37380142432835,-5.44378409213618,-3.31358373809555,-1.05849064098297
-4.76726158718799,-4.73433754793838,-4.02789285991621,-3.07444394560907
-5.21924488486445,-6.45729551217829,-5.40719883085057,-3.70958764218582
-5.33380393955827,-5.55522375121583,-6.13241263403959,-6.51014097720619
-5.1934232389756,-6.74367629269656,-6.02708573868287,-4.83963778589008
-4.89669824485171,-2.94403255483071,-5.00383789249258,-2.1672839354947
-6.00697725811089,-5.54470344456389,-5.68078037230937,-4.17866345028479
-5.16899720679694,-4.75857229938186,-4.97932529891282,-4.93885063202458
-3.65967481127477,-5.54430581867287,-5.28394776095241,-3.5561146345367
-2.3951189463632,-4.10648364036063,-4.78631909285467,-4.20677869650396
-5.60783838296728,-6.49489580895496,-5.09989713979809,-3.89978682435406
-3.25721026348497,-4.89696390150875,-3.99687066114763,-3.46360676814378
-3.80552643600237,-3.34524412765052,-1.2213606241176,-1.93763852441643
-3.79221477759399,-1.35902965397226,-0.799239985938956,-2.71817270324135
-6.56852695016655,-6.29685987514473,-4.29862647559915,-3.10477354140764
-5.13386329266114,-4.36168322453003,-5.20073549731463,-4.68022140771505
-3.0747979251229,-4.86850980556177,-4.32175465346264,-5.4022648253549
-4.44830269751741,-2.8066579606449,-0.358889853854679,-0.325567414381335
-4.51852605400999,-4.67842032611947,-5.86022339596037,-6.55405847510327
-3.97231005244222,-4.11796542347609,-4.11281688299108,-4.75260805853272
-5.13288621781548,-5.95636160513899,-3.55283822068072,-3.37122928045572
-4.97982504862103,-4.34020705249886,-3.97488510585131,-3.02422595408077
-4.58989234304629,-4.5320564649986,-3.41080519814631,-5.7860939692476
-4.35826300587819,-4.92198624225669,-5.94311242685483,-4.95286717713315
-6.27185738108529,-3.64319218067268,-3.24194158220995,-2.25852810776869
-3.45695732834014,-5.16916852985931,-3.317996286314,-1.42155324888117
-4.31195331654483,-0.0360346664468509,-3.55812409914059,-2.05454169849128
-4.29235034470921,-4.37473086104746,-5.00108801110415,-4.64287566197109
-4.84573255380412,-5.97410135505066,-5.5865082655868,-3.02269640681294
-5.35468959956788,-4.50285768776639,-4.77029098579615,-4.1798614521906
