"V1","V2","V3","V4"
-4.81582171010729,-3.44508233014026,-2.46824436345265,-3.80420233347004
-4.42751905004876,-3.99516039645627,-2.71948500843457,-1.39728960570865
-3.59983553902555,-4.01466539692454,-5.50440263825588,-4.10780320663605
-4.09484160546025,-4.51006047071349,-2.25071133935782,-1.36998858553491
-3.87494800870709,-3.11894643932165,-3.25144508486602,-2.78165925607909
-4.67143398771949,-4.29039640267581,-5.35224072112248,-4.01468968905888
-5.30800709883723,-6.24235874853212,-6.19365356841979,-6.09229434025955
-4.93172809419306,-6.63941726878473,-5.69920675241222,-4.43859069702664
-4.91009474468157,-5.98276449838233,-3.80738307449596,-4.40610708457827
-4.75541484832943,-3.80519829710884,-3.7686580104762,-3.25690181486103
-5.2789983842177,-6.79667695900807,-4.98859524689197,-2.5840798106068
-4.66703838716874,-3.79877956496672,-3.12071070662485,-3.10813365291738
-6.21518089205251,-4.90214810081202,-4.0357144542797,-2.32606701427035
-3.99666149672696,-1.74457295284668,-1.03527325915157,-1.64042617173327
-6.17095521010106,-4.77187620265758,-4.88752307450139,-4.63183673467989
-4.93931659200398,-4.90102637570228,-4.5253231355666,-2.96994388927677
-4.56775319511714,-3.4233129696151,-4.24231926033041,-3.25868522507923
-3.09943609776492,-3.08425274108942,-3.21985621877928,-3.55148624957598
-3.00897586812354,-2.6959608460253,-2.88657161618532,-3.30927252644518
-4.6739430685958,-3.46376121931603,-2.66777679934858,-2.80926249794872
-4.88978674186857,-4.43497131872728,-2.91527371782838,-0.990622361055183
-4.40628486017689,-2.43921005874539,-2.02968882984872,0.0819514479442649
-1.94241449659976,-4.67876456259842,-2.5016494892283,-0.853816092647354
-5.78251294795549,-4.58166653029863,-4.86228879520894,-2.56693257026494
-4.3566168651336,-5.01913019892439,-5.54339310290374,-3.89522867851889
-3.58150581010156,-3.66186186020951,-3.28200482034704,-4.5712335364665
-5.65737168123545,-4.74309097888736,-5.29468658906582,-6.98325452086646
-3.59505326791892,-5.89672549578509,-4.07350017127706,-1.90285498821929
-3.98210718634448,-4.63690585211024,-2.44761100084529,-2.5637691670289
-2.26493285627147,-3.69192078478114,-3.92610833887392,-4.27961380591927
-4.03480153080983,-4.21186821450393,-1.87017821036738,-2.21597680975935
-3.86495526675524,-1.23004292045142,-3.04021084787938,-1.66786907570865
-4.25186767579078,-5.68913366189537,-4.33469345303212,-3.59829118016056
-3.53342360801295,-3.36753542328733,-2.7722938568509,-3.64017264036048
-5.72303757174111,-4.35407589533293,-5.33139653002925,-3.14445009994104
-4.65250205826141,-5.17872698495784,-5.30790745965498,-1.7168862569682
-5.57420688202024,-3.48595441354458,-3.47184243040011,-3.99492156852122
-0.745286192586006,0.738907038979076,-0.755683059420711,-0.450785163065841
-4.92300972273484,-1.97837718165441,-1.49555583952782,-2.51376946268715
