"V1","V2","V3","V4"
-4.42405128778295,-3.93936166219194,-3.45927814150861,-2.90049165744087
-4.5605711880939,-4.17839266909341,-3.72189409295844,-3.13803937566453
-4.2699801166102,-3.75364834190095,-3.29118600642882,-2.81297017317012
-4.43390751407866,-4.06691534809962,-3.6613093123808,-3.17004062351349
-4.99488726739586,-4.87701381172042,-4.61314880494398,-4.18770795863062
-4.61466650034255,-4.32414746264092,-3.97851943576763,-3.54906608465052
-4.65433235804547,-4.39274516096246,-4.0147988964197,-3.49592529135685
-4.07639676013239,-3.59337152761334,-3.17595656262947,-2.74879955010542
-4.65616052664454,-4.34723128088853,-4.00606883879313,-3.60305999329094
-4.82934118204758,-4.5556819512716,-4.17170341227951,-3.65201594396869
-4.18522389312101,-3.64192324973896,-3.17906657273773,-2.73358253601107
-4.80831785239964,-4.56998793489236,-4.20656607199247,-3.69602506004563
-4.49374374057572,-4.02256697412355,-3.55975261536493,-3.03528843615897
-4.34078091749518,-3.92270380820621,-3.51433692769577,-3.06143658048839
-4.99826801839559,-4.88344843509056,-4.57869430119712,-4.07676812833806
-5.00732774426387,-4.73794316782991,-4.37576457433053,-3.89307472329677
-4.35591259593963,-3.93110453767444,-3.50370008373908,-3.00033504386266
-4.57237095911455,-4.17213339117668,-3.73031318187522,-3.19654900909503
-4.65370545389441,-4.26393780011758,-3.82456651176776,-3.28243936570215
-4.93003993505589,-4.6324337718037,-4.16011756657486,-3.49631993827812
-4.84515557887903,-4.64334081641523,-4.31114256469157,-3.8265434716764
-4.41759996236978,-3.99726258530888,-3.58897871523931,-3.13040576946319
-4.97071092662274,-4.71397793330516,-4.35555181236604,-3.86880126376201
-3.86483575523097,-3.14632192268348,-2.60794340374464,-2.12703202203454
-4.76271077677879,-4.53175934004823,-4.15649380549158,-3.61894529541118
-4.73891359003129,-4.44591845602659,-4.08508181196179,-3.6260547088998
-4.631064680261,-4.17401670279058,-3.71894222170543,-3.21931180335338
-4.57732798291107,-4.20702808214178,-3.79765678851685,-3.30539191291656
-4.63463839806514,-4.3419284688774,-3.98066808243918,-3.51847492372793
-4.81081389774094,-4.61308334013846,-4.28447750508963,-3.80281596085195
-4.67482163796584,-4.36771739701697,-3.99781077581531,-3.53231223808808
-4.54932650073528,-4.18863609345599,-3.75589433862097,-3.20755595827494
-4.23913314361106,-3.77744295950693,-3.36366535495808,-2.93933235464811
-4.60567903699506,-4.19983026603626,-3.76995974416973,-3.27155009224214
-4.25907924738869,-3.75877155104211,-3.28922972435136,-2.78669242138477
-4.75799522461039,-4.38289701964771,-3.95289087039402,-3.42971660627342
