"V1","V2","V3","V4"
-4.75235514532895,-4.36449004996606,-3.88893577172005,-3.37929993535133
-4.70883163762942,-4.33706029224521,-3.87164875492401,-3.36840516359476
-4.62397813843,-4.28358319336627,-3.83794595973595,-3.34716469940915
-4.64373498357466,-4.29603452149422,-3.84579314237137,-3.35211021804627
-4.72028380509296,-4.34427777529075,-3.87619741889337,-3.37127186155244
-4.73438780432941,-4.35316651846424,-3.88179935873184,-3.3748023640477
-4.8632441744176,-4.43437548343802,-3.93297956804239,-3.40705759382335
-4.68194784068508,-4.32011735552489,-3.86097083225917,-3.36167563173624
-4.71281669942705,-4.33957179201601,-3.87323157381592,-3.36940270127074
-4.59681317028353,-4.26646305452323,-3.82715635923192,-3.34036478498651
-4.71375502816695,-4.34016315358952,-3.87360426677069,-3.36963758301612
-4.75039175398026,-4.36325266465747,-3.88815593615495,-3.37880846070364
-4.78353328203981,-4.38413940226713,-3.90131935478763,-3.3871044231147
-4.83338381511098,-4.41555663209698,-3.92111939040154,-3.39958297111003
-4.69944784960075,-4.33114636099897,-3.8679216265321,-3.36605622082364
-4.7969558251073,-4.39259867229841,-3.90665062838477,-3.39046434401359
-4.74527243018464,-4.36002632057744,-3.88612260196116,-3.37752699541628
-4.71728308790199,-4.34238663760706,-3.87500556990826,-3.37052072427905
-4.78049088386377,-4.38222199603611,-3.90011095061368,-3.38634285228843
-4.70105560597091,-4.33215961498604,-3.86856020813648,-3.36645867319063
-4.69444511363091,-4.32799349389687,-3.86593459962853,-3.36480393971326
-4.76629100471424,-4.37327282660275,-3.89447092842028,-3.38278834920534
-4.70295087279121,-4.33335406627099,-3.86931298545355,-3.36693309495754
-4.69724684568591,-4.32975922546423,-3.86704741409715,-3.36550526717687
-4.68898854851706,-4.32455461070542,-3.86376731721593,-3.36343805643242
-4.63491664137425,-4.29047695035987,-3.84229060230075,-3.34990281725018
-4.72860970542637,-4.34952499549483,-3.87950436694314,-3.37335599467026
-4.63442144931432,-4.29016486617946,-3.84209391793614,-3.34977886114568
-4.60924728977581,-4.27429939178492,-3.83209504280474,-3.34347728443847
-4.79607342640443,-4.39204255943177,-3.90630015017188,-3.39024346263307
-4.65959030007295,-4.30602699482928,-3.85209068448367,-3.3560791089631
-4.72428283545844,-4.34679807845199,-3.87778578593339,-3.37227289582983
-4.62574182824731,-4.28469472106568,-3.83864647624085,-3.3476061849195
-4.68291590039859,-4.32072745440718,-3.86135533400113,-3.36191795571661
-4.63936087407896,-4.29327783275168,-3.8440557983861,-3.35101529424273
-4.69028923897679,-4.32537434298496,-3.86428393591264,-3.36376364429134
-4.65306434779208,-4.3019141533001,-3.84949865427626,-3.35444553748984
-4.81370244306987,-4.40315286927463,-3.91330218478033,-3.3946563448435
-4.67726483033147,-4.3171659886385,-3.85911079654702,-3.36050338410196
-4.63725343217706,-4.29194966266991,-3.84321874766384,-3.35048776096876
-4.66017912457799,-4.30639808885104,-3.8523245585358,-3.35622650307093
-4.71964317039195,-4.34387402900363,-3.87594296645096,-3.37111149835527
-4.68589790077699,-4.32260679622098,-3.86253974889212,-3.36266440781153
-4.79664263757649,-4.39240129257087,-3.90652623404269,-3.39038594714612
-4.76419199879338,-4.3719499731172,-3.89363722836882,-3.38226292761981
-4.72356851897811,-4.34634789580296,-3.87750206796934,-3.372094088665
-4.60502656421761,-4.27163936998091,-3.83041862108524,-3.34242075558695
-4.76742865384211,-4.37398980557798,-3.89492278904965,-3.38307312468053
-4.76994411454676,-4.37557512076354,-3.89592189996119,-3.38370279291474
-4.76830843108005,-4.37454426632254,-3.89527222604802,-3.38329334985793
-4.66656221611884,-4.3104208954613,-3.85485984616562,-3.35782431375106
-4.73955487314585,-4.35642295282014,-3.88385165667696,-3.37609578083282
-4.72321608330053,-4.34612578077227,-3.87736208473269,-3.3720058672309
-4.64695297115701,-4.29806258918449,-3.84707128855779,-3.35291574228084
-4.76657491613033,-4.37345175568658,-3.89458369463969,-3.38285941769777
-4.75046925715156,-4.36330150936976,-3.88818671948779,-3.37882786123926
-4.80345828067027,-4.39669670552483,-3.90923332597681,-3.39209203380608
-4.66526254614055,-4.30960180631831,-3.85434363279194,-3.35749898133828
-4.68200685538018,-4.32015454827139,-3.86099427219035,-3.36169040425039
-4.70355633405937,-4.33373564525607,-3.86955346742905,-3.36708465356742
-4.78212393042784,-4.38325118862574,-3.90075957718065,-3.38675163527776
-4.61414586409567,-4.27738661324002,-3.83404069794652,-3.34470349188287
-4.78717402488311,-4.38643390239808,-3.90276541430831,-3.38801577112865
-4.59826263986362,-4.26737655165402,-3.8277320712161,-3.34072761512309
-4.76268162934155,-4.37099809514774,-3.89303732768383,-3.38188485307307
-4.7842845427519,-4.38461286822626,-3.90161774655876,-3.38729247813187
-4.67155089433087,-4.3135649029629,-3.8568412894959,-3.35907307593406
-4.76343105762376,-4.37147040625723,-3.89333499163572,-3.38207244939778
-4.71244454678649,-4.33933725079208,-3.87308375923736,-3.36930954430128
-4.69326842249556,-4.32725190953337,-3.86546723198067,-3.36450939127208
-4.78856945978334,-4.38731334533022,-3.90331966436381,-3.38836507534475
-4.78529869828352,-4.38525201800977,-3.90202055700846,-3.38754634078281
-4.72826594483291,-4.34930834774994,-3.87936782934617,-3.37326994477671
-4.73929237540483,-4.35625751924599,-3.88374739571322,-3.37603007259545
-4.67200947871986,-4.31385391594346,-3.85702343373137,-3.35918786843387
-4.713972977024,-4.34030051118454,-3.87369083345044,-3.36969213981032
-4.7070806109482,-4.33595674521587,-3.87095326806533,-3.36796684791112
-4.70210807214459,-4.33282290923045,-3.86897823511508,-3.36672212573271
-4.6246154139746,-4.28398482261708,-3.8381990779616,-3.34732422174482
-4.7006339398339,-4.33189386894238,-3.86839272738922,-3.36635312203993
-4.73234338291593,-4.35187806569435,-3.88098733899398,-3.37429060601506
