"model_name","RMSE","pred_var","coverage","peak_timing","mean_quantile","max_quantile","Pearsons_r","mean_bias","max_bias","mean_range"
"RW","2.26","9.19","100","14","0.62","0.88","0.45","121.28","34.47","400.89"
"RW_obs","2.22","8.92","100","14","0.62","0.9","0.46","89.49","4.92","365.92"
"AR","1.62","4.35","100","14","0.61","0.96","0.45","2.34","-11.2","25.95"
"wtrtemp_min","1.59","3.36","96.8","12","0.61","0.99","0.47","0.9","-12.7","19.63"
"wtrtemp_min_lag","1.62","3.2","87.1","12","0.61","0.98","0.45","0.56","-12.02","17.28"
"wtrtemp_MA7","1.59","3.34","96.8","14","0.61","0.98","0.46","0.86","-12.47","19.24"
"schmidt_med_diff","1.62","4.33","100","14","0.62","0.96","0.46","2.13","-11.22","26.26"
"wnd_dir_2day_lag","1.55","3.97","100","14","0.62","0.96","0.49","1.37","-11.5","21.31"
"GDD","1.59","3.37","96.8","12","0.62","0.99","0.47","1.24","-12.77","20.14"
"GDD_test","1.62","2.64","87.1","13","0.62","0.99","0.37","-0.33","-12.97","10.37"
"schmidt_and_wnd","1.54","4.02","100","14","0.62","0.96","0.51","1.48","-11.3","22.37"
"schmidt_diff_and_max","1.59","4.18","100","12","0.61","0.96","0.53","2.65","-10.92","31.77"
"wnd_dir_and_speed","1.56","4","100","14","0.62","0.97","0.47","1.49","-11.56","21.38"
