"model_name","RMSE","pred_SD","pred_loss","coverage","peak_timing","mean_quantile","max_quantile","Pearsons_r","mean_bias","max_bias","mean_range"
"RW","1.98","2.65","3.31","100","3","0.59","0.89","0.55","42.17","3.16","210.67"
"RW_obs","1.95","2.61","3.26","100","3","0.58","0.88","0.56","42.86","0.56","200.16"
"AR","1.54","1.99","2.52","100","14","0.58","0.96","0.57","2.1","-11.17","24.34"
"wtrtemp_min","1.57","1.78","2.37","96.9","12","0.59","0.98","0.58","0.95","-12.47","18.4"
"wtrtemp_min_lag","1.58","1.76","2.37","93.8","14","0.6","0.98","0.59","0.56","-11.93","16.05"
"wtrtemp_MA7","1.54","1.78","2.36","96.9","14","0.59","0.98","0.58","0.92","-12.29","18.3"
"schmidt_med_diff","1.54","1.99","2.52","100","14","0.58","0.96","0.58","2.19","-11.02","24.68"
"wnd_dir_2day_lag","1.55","1.93","2.48","100","14","0.59","0.96","0.62","1.43","-11.2","20.62"
"GDD","1.57","1.78","2.38","96.9","14","0.6","0.99","0.6","0.87","-12.74","18.01"
"schmidt_and_temp","1.55","1.77","2.35","93.8","14","0.59","0.98","0.59","0.71","-12.08","17.26"
"schmidt_and_precip","1.54","2","2.52","100","14","0.58","0.95","0.58","2.15","-10.69","25.04"
"temp_and_precip","1.55","1.79","2.37","96.9","14","0.59","0.98","0.57","0.92","-12.23","17.89"
"precip_and_GDD","1.61","1.79","2.4","93.8","14","0.58","0.98","0.58","1.73","-12.51","24.46"
"schmidt_max_lag","1.54","1.94","2.47","100","14","0.58","0.96","0.64","2.07","-10.81","27.08"
"precip","1.55","1.99","2.52","100","14","0.58","0.96","0.56","1.98","-10.64","24.47"
