model_name,RMSE,pred_var,coverage,peak_timing,mean_quantile,max_quantile,Pearsons_r,mean_bias,max_bias,mean_range
wnd_and_GDD,1.54,3.29,93.5,13,0.6,0.98,0.48,1.56,-12.39,24.01
wnd_dir_2day_lag,1.54,3.97,100,14,0.62,0.97,0.49,1.4,-11.18,21.15
schmidt_and_wnd,1.54,4.03,100,14,0.62,0.97,0.51,1.63,-11.4,22.69
ensemble,1.55,3.93,100,14,0.61,0.97,0.5,1.55,-11.68,22.56
wnd_and_precip,1.56,4,100,14,0.62,0.97,0.47,1.26,-11.5,21.35
schmidt_max_lag,1.58,4.16,100,12,0.61,0.96,0.52,2.62,-10.61,30.23
wtrtemp_MA7,1.59,3.34,93.5,12,0.61,0.98,0.46,0.81,-12.42,19.01
wtrtemp_min,1.59,3.35,96.8,12,0.61,0.98,0.46,0.95,-12.54,19.53
GDD,1.59,3.38,96.8,12,0.62,0.99,0.46,1.06,-12.86,20.87
AR,1.61,4.33,100,14,0.61,0.97,0.44,2.36,-10.97,25.97
schmidt_med_diff,1.62,4.34,100,14,0.61,0.96,0.47,2.2,-10.99,26.54
schmidt_and_precip,1.62,4.35,100,14,0.61,0.96,0.47,2.37,-10.71,26.25
precip,1.62,4.35,100,14,0.61,0.97,0.45,2.2,-11.34,25.28
wtrtemp_min_lag,1.63,3.21,87.1,12,0.62,0.98,0.45,0.57,-12.21,16.75
RW_obs,2.22,8.94,100,14,0.62,0.89,0.46,90.81,34.06,366.93
RW,2.26,9.2,100,14,0.62,0.9,0.45,126.39,24.23,401.13
