"model_name","mean.IC","min.IC","max.IC","mean.Pa","min.Pa","max.Pa","mean.D","min.D","max.D","mean.P","min.P","max.P"
"RW","0.13","0","0.32",NA,NA,NA,NA,NA,NA,"0.87","0.87","0.87"
"RW_obs","0.12","0","0.31",NA,NA,NA,NA,NA,NA,"0.88","0.88","0.88"
"AR","0.04","0","0.11","0.04","0.03","0.08",NA,NA,NA,"0.04","0.04","0.04"
"wtrtemp_min","0.16","0","0.35","0.41","0.17","0.69","0.43","0.1","0.7","0","0","0"
"wtrtemp_min_lag","0.13","0","0.34","0.43","0.21","0.73","0.44","0.09","0.66","0","0","0"
"wtrtemp_MA7","0.15","0","0.36","0.43","0.22","0.63","0.41","0.19","0.63","0","0","0"
"schmidt_med_diff","0.34","0.01","0.67","0.56","0.28","0.77","0.09","0.01","0.31","0","0","0"
"wnd_dir_2day_lag","0.22","0","0.52","0.33","0.18","0.65","0.45","0.21","0.67","0","0","0"
"GDD","0.2","0","0.49","0.69","0.39","0.88","0.11","0","0.32","0","0","0"
"schmidt_and_wnd","0.19","0","0.49","0.36","0.17","0.59","0.45","0.2","0.7","0","0","0"
"schmidt_max_lag","0.23","0.01","0.59","0.38","0.13","0.78","0.39","0.14","0.76","0","0","0"
"precip","0.36","0.01","0.69","0.51","0.26","0.96","0.13","0","0.54","0","0","0"
"schmidt_and_precip","0.3","0.01","0.62","0.51","0.25","0.73","0.19","0.02","0.5","0","0","0"
"wnd_and_precip","0.19","0","0.51","0.32","0.14","0.63","0.5","0.18","0.77","0","0","0"
"wnd_and_GDD","0.14","0","0.34","0.54","0.36","0.83","0.32","0.09","0.55","0","0","0"
"all_models","0.19","0","0.45","0.42","0.21","0.69","0.33","0.1","0.59","0.12","0.12","0.12"
